Premise,Claim,Helpful,Non-Helpful
Words matter and people who think differently should be able to respond.,Comment sections have not failed,Words matter for diverse responses. Comment sections enable this.,Words matter but sections often lack diverse responses. This indicates failure.
Kurdish fighters are also being targeted by ISIS.,Kurds are allies in Syria,ISIS targets enemies. Kurdish fighters are enemies of ISIS.,ISIS targets many groups. Kurdish fighters could be independent.
Guns are already on college campuses.,Guns should be permitted on college campuses,Current presence indicates a practical reality. Formal permission aligns with this existing situation.,Current presence may indicate a security failure. Stricter prohibition could address this existing problem.
"When there are no moderators and commentators are anonymous, they tend to abuse the privileged of commenting.",Comment sections have failed,Anonymous commenters abuse privileges. This abuse causes comment section failure.,Some platforms have effective moderation systems. These systems prevent comment section failure.
While not every person who has served a jail sentence has reformed I believe many realize the wrong they have done and strive to be better.,Felons should be allowed to vote,Many felons reform and strive for better. Reformed individuals deserve civic participation rights.,Not every felon has truly reformed. Unreformed individuals may misuse civic rights.
"When comments are moderated, it is appreciated by people like me.",Comment sections have not failed,Moderation creates appreciation. Appreciation indicates success.,Moderation addresses existing problems. Problems indicate failure.
Hijabs are a disrespectful thing for women.,Non-Muslims hurt women by wearing hijabs,Wearing hijabs disrespects women. Non-Muslims wearing them causes harm.,Disrespect does not equate to causing harm. Non-Muslims may not cause hurt.
Many editorials are wrong or distorted and their claims are corrected in the comments.,Comment sections have not failed,Many editorial errors are corrected. Comment sections fulfill a corrective purpose.,Many editorial errors exist. Comment sections may not correct all errors.
Erdogan has a history or repressing civil rights and violence.,Turkey doesn't belong to NATO,NATO requires democratic values. Turkey's actions conflict with membership.,NATO membership is based on strategic interests. Turkey remains a key NATO ally.
It is very nice to have the information easily available.,Medical websites are healthful,Medical websites provide accessible information. Accessible health information promotes wellness.,Easy availability does not ensure information quality. Poor information can be harmful.
"If we are going to make our own history, sometimes decorum, protocol, and tradition have to be set aside.",Supreme court justice can denounce a candidate,Making history may require setting aside tradition. Judicial decorum can be set aside.,Judicial tradition requires strict impartiality. Justices must avoid political statements.
Google is simply a wildly successful American company.,Google is not a harmful monopoly,Wild success does not imply harmful monopoly. Market dominance can be fairly earned.,Wild success often leads to monopolistic control. Such control can harm competition.
Felons should be able to have their full citizenship rights restored if they can demonstrate they are a solid citizen.,Felons should be allowed to vote,Full citizenship rights include voting rights. Solid citizens deserve restored voting rights.,Solid citizen demonstration excludes political participation. Full rights restoration may omit voting.
Public displays of religion make others uncomfortable.,Non-Muslims hurt women by wearing hijabs,Public displays include non-Muslims wearing hijabs. This causes discomfort harming women.,Discomfort does not equate to causing physical harm. Many displays are respectful and supportive.
There are many treatments that doctors need to learn to help people in pain.,Opioid training should be mandatory,Opioids are a common pain treatment. Doctors must learn this specific treatment.,Many treatments exist for managing pain. Opioid training is just one optional approach.
Comment sections are an important place for discussion even if some posters abuse them.,Comment sections have not failed,Comment sections enable important discussion. Their purpose remains despite abuse.,Some posters abuse comment sections. This abuse can undermine discussion.
Well moderated comments can be more interesting and useful than the article.,Comment sections have not failed,Well moderated comments provide value. This shows comment sections succeed.,Many comment sections lack proper moderation. This indicates widespread failure.
"If ADHD children were undiagnosed and unmedicated, I do not believe they would succeed in school.",The A.D.H.D. diagnosis is helping kids,Diagnosis enables medication and support. This leads to school success.,Diagnosis does not guarantee medication or support. School success remains uncertain.
Justice Ginsberg knows it is dangerous to remain silent.,Supreme court justice can denounce a candidate,Silence poses a known danger. Speaking out is a permissible alternative.,Silence poses a known danger. Avoiding public statements is required.
The patients and their family know when there is something wrong even though doctors know a lot.,Medical websites are healthful,Medical websites provide doctor knowledge. This knowledge aids patient awareness.,Medical websites can spread misinformation. Misinformation contradicts healthful guidance.
There were so many people it was as crowded as being in a shopping mall.,Overcrowded national parks should have restricted access,National parks can become overcrowded like malls. Overcrowding necessitates access restrictions.,Shopping malls are designed for large crowds. Crowds do not require access restrictions.
"Comments sections, when unfiltered, will always be vulgar, nasty, and hate-filled.",Comment sections have failed,Unfiltered sections always contain hate. This indicates a functional failure.,Unfiltered sections always contain hate. This fulfills an expected purpose.
"The creators of google apple and facebook deserve money for their creations, but they are raising the bar too high for competition.",Google is a harmful monopoly,Raising the bar too high stifles market competition. This creates a harmful monopoly.,Creators deserve money for their successful innovations. This justifies market dominance.
You can't preach freedom while limiting the freedom of others.,Christians have created a harmful atmosphere for gays,Some Christians preach personal religious freedom. This preaching limits gay people's social freedom.,Many Christians advocate for universal human freedom. This advocacy protects everyone's social freedom.
"Comments sections are full of partisan individuals looking for a fight, not a conversation.",Comment sections have failed,Partisan individuals seek conflict over dialogue. This indicates a failure of purpose.,Partisan engagement shows high user activity. High activity signifies successful platforms.
"Her charities didn't raise people out of poverty, they remained impoverished.",Mother Teresa should not be canonized,Charitable work failed to alleviate poverty. Sainthood requires effective aid.,Charitable work addressed spiritual poverty. Sainthood recognizes spiritual service.
Comments sections are necessary to give a wide variety of opinions.,Comment sections have not failed,Comments sections fulfill their necessary purpose. This purpose continues successfully.,Necessary functions often face significant challenges. Many platforms remove comment sections.
Biased reporting is called out in the comment section.,Comment sections have not failed,Biased reporting receives public critique. This shows a functioning purpose.,Biased reporting is identified as a problem. This indicates a systemic failure.
Prescriptions drugs are more likely to be a gateway drug.,Marijuana is not a gateway drug,Prescription drugs lead to harder substances. Marijuana differs from prescription drugs.,Gateway drugs often precede harder substance use. Marijuana use precedes harder drugs.
Comment sections allow for understanding of other views and reaching a consensus and compromise just like in any democracy.,Comment sections have not failed,Comment sections fulfill their democratic purpose. Therefore they have succeeded.,Many comment sections foster division and hostility. This indicates a failure.
There is an epidemic in Brazil.,Brazil should postpone Olympics,Epidemics require major public health interventions. Large gatherings like Olympics worsen epidemic spread.,Epidemics are managed through standard healthcare protocols. The Olympics proceed with enhanced health measures.
Comment sections allow other views to be heard.,Comment sections have not failed,Other views are heard. This fulfills a core purpose.,Other views being heard is insufficient. Core purposes remain unfulfilled.
"Comment sections have devolved into anonymous school yard bullying, offering no debate or discussion.",Comment sections have failed,Comment sections lack constructive discourse. This absence constitutes a failure.,Bullying indicates high engagement. High engagement shows success.
The comments are in being manufactured in favor of HC to control the election.,Comment sections have failed,Manufactured comments distort authentic discourse. This artificial control constitutes a failure.,Manufactured comments successfully influence the election. This control demonstrates effective operation.
Hijabs are a sexist garment and should not be used as a symbol for anything.,Non-Muslims hurt women by wearing hijabs,Hijabs symbolize sexism when used. Non-Muslim use promotes this harmful symbol.,Hijabs are personal garments without symbolic meaning. Wearing them expresses solidarity.
Muslim countries arrest or execute gays.,Christians have not created a harmful atmosphere for gays,Muslim countries' actions are distinct. Christian actions differ significantly.,Some countries persecute gay people. Many Christian traditions oppose homosexuality.
This move will not solve anything and will lead to Palestinian violence.,The U.S. Embassy should not be moved from Tel Aviv to Jerusalem,The embassy move fails to achieve progress. It risks provoking dangerous unrest.,The embassy move is a sovereign decision. It demonstrates strong diplomatic support.
College students have the best chance of knowing history.,College students' votes do matter in an election,Historical knowledge informs wise voting. Wise voting influences election outcomes.,Historical knowledge is separate from political participation. Political participation requires more than knowledge.
Turkey's poor record on human rights should not be a NATO member as it does not follow the principle's of NATO.,Turkey doesn't belong to NATO,Poor human rights violates NATO principles. Violators should not be members.,Membership is based on strategic factors. Historical membership remains valid.
Sometimes the threat to American values justifies speaking out.,Supreme court justice can denounce a candidate,A candidate may threaten American values. Speaking out includes denouncing such a candidate.,Judicial ethics require strict political neutrality. Denouncing a candidate violates this duty.
Too many people would prefer to push individuals with a criminal record of over the proverbial edge instead of giving them a helping hand,Jail record should not be an employer's first impression,Society often denies opportunities to former offenders. Employers should consider qualifications first.,Criminal records indicate poor judgment and risk. Employers must prioritize safety and liability.
People can learn a lot from reading the comments.,Comment sections have not failed,Learning occurs in comment sections. This indicates their continued success.,Learning requires high-quality information. Comment sections often lack this.
I recently stopped contributing to the comment section of my local newspaper.,Comment sections have failed,Many contributors are abandoning newspaper comment sections. This widespread abandonment indicates failure.,One person's choice reflects a personal preference. Personal preferences do not indicate systemic failure.
"Although they are human, justices must make every effort to remain unbiased.",Supreme court justice cannot denounce a candidate,Justices must avoid political bias. Denouncing a candidate shows bias.,Justices are human and have opinions. Expressing opinions maintains public trust.
Comments from individuals and their viewpoints has brought new insight to topics.,Comment sections have not failed,Comments provide new insight. Providing insight shows success.,New insight requires quality discussion. Comment sections lack quality.
Moving the embassy will tough things off in the world.,The U.S. Embassy should not be moved from Tel Aviv to Jerusalem,Moving the embassy worsens global tensions. Avoiding such action is therefore necessary.,Moving the embassy worsens global tensions. Proceeding with the move is therefore acceptable.
It is important for Americans to hear the opinions of Supreme Court Justices on political events.,Supreme court justice can denounce a candidate,Supreme Court Justices may share political opinions. Denouncing a candidate expresses such an opinion.,Judicial ethics require avoiding political activities. Denouncing a candidate violates judicial impartiality.
Education and employment would become more important for felons if they could vote.,Felons should be allowed to vote,Voting rights increase civic engagement. This engagement promotes rehabilitation and societal benefit.,Civic engagement may not alter personal priorities. Other methods can address rehabilitation effectively.
Learning a language allows you to assimilate a culture in a way not possible by other methods.,Foreign language classes should be mandatory in college,Language learning provides unique cultural assimilation. Colleges should require this unique experience.,Cultural assimilation is not a primary college goal. Mandatory classes impose unnecessary burdens.
There are cases where internet research on medical websites improved condition or saved lives.,Medical websites are healthful,Internet research improved health outcomes. This shows websites are healthful.,Some cases show positive outcomes. Many cases show harmful misinformation.
They provide other peoples perspectives on topics.,Comment sections have not failed,Other perspectives are provided on topics. This fulfills a core purpose.,Other perspectives are often toxic or misleading. This indicates a failure.
I enjoy the NYT comments.,Comment sections have not failed,NYT comments provide enjoyment. Enjoyment indicates successful function.,NYT comments are a specific case. General comment sections often fail.
"The media is biased, and comment sections can help one understand what is really going on.",Comment sections have not failed,Media bias obscures truth. Comment sections reveal reality.,Media bias requires verified sources. Comment sections spread misinformation.
"Comment sections provide an avenue for unwanted hassle and even interaction with so-called ""nuts.""",Comment sections have failed,Unwanted interactions dominate comment sections. This dominance indicates functional failure.,Comment sections enable diverse public interaction. This enables successful public discourse.
"Many people can smoke marijuana heavily, and quit without a problem.",Marijuana is not a gateway drug,Heavy use can be stopped easily. This suggests low addiction potential.,Easy quitting does not address progression. Other drugs may still follow.
"Taking a cue from the success of the Swiss and Dutch healthcare models proves Obamacare can work, too.",Obamacare is sustainable,Successful models demonstrate long-term viability. This viability ensures program sustainability.,Different national contexts create unique challenges. These challenges may threaten long-term feasibility.
Comments give new perspectives and context to stories.,Comment sections have not failed,Comments fulfill their purpose. Their purpose remains intact.,Comments often lack constructive perspectives. This indicates functional failure.
Publicly funded education would cost society too much.,College should not be free,Public funding makes college free. Free college imposes excessive societal costs.,Societal costs can be managed differently. Affordable college remains possible.
Turkey does not have much in common with the rest of the countries in NATO.,Turkey doesn't belong to NATO,NATO requires shared values and interests. Turkey lacks these commonalities with allies.,NATO membership is based on strategic agreements. Shared commonalities are not a requirement.
It is often educational to read commentors' opinions.,Comment sections have not failed,Reading comments provides educational value. This value shows ongoing success.,Educational value can exist independently. Success is not guaranteed by it.
A search on a medical site could get early treatment.,Medical websites are healthful,Early treatment promotes good health. Medical sites enable this treatment.,Early treatment may not improve outcomes. Websites can provide misinformation.
We are able to take into consideration all views and come to a compromise.,Comment sections have not failed,All views are considered for compromise. This shows comment sections' success.,Compromise requires considering all views. Comment sections often lack this.
Turkey practices a different leaning ideology than other nearby countries in NATO.,Turkey doesn't belong to NATO,NATO requires ideological alignment. Different ideology leads to exclusion.,NATO membership includes diverse ideologies. Different ideology does not negate membership.
Denying LGBT rights based on religious beliefs is not acceptable from a civil rights perspective.,Christians have created a harmful atmosphere for gays,Some Christians deny LGBT rights based on religion. Such denial creates a harmful atmosphere.,Many Christians support LGBT rights. Support fosters an accepting atmosphere.
Justice Ginsberg's comments shows an important intelligent person sees Trump as dangerous.,Supreme court justice can denounce a candidate,Justice Ginsberg is a Supreme Court justice. A justice's comments can denounce a candidate.,Judicial ethics require political neutrality. Public denouncements violate judicial conduct rules.
"We need to empower all US citizens to participate in our democracy, to create the more equal and fair society.",Felons should be allowed to vote,Empowering all citizens includes felons. Their participation creates a fairer society.,Felons have violated societal laws. Their exclusion maintains a just democratic system.
Comment sections permit opposing sides to see and understand the other side of a debate.,Comment sections have not failed,Comment sections achieve their intended purpose. This purpose is facilitating mutual understanding.,Understanding does not guarantee productive outcomes. Many debates remain unresolved and hostile.
"We should close churches that are spewing hate on a tax free basis, just as we close mosques that preach love of ISIS.",Christians have created a harmful atmosphere for gays,Some churches promote hateful rhetoric. This rhetoric targets gay individuals.,Closing hateful churches prevents harm. This action protects gay individuals.
"Patients know their body, but have limited doctor access.",Medical websites are healthful,Limited access creates information needs. Medical websites provide reliable health guidance.,Limited access requires professional diagnosis. Medical websites offer unverified information.
Comment sections add value to an editorial or commentary; the lack of comments earns the item less respect from the reader.,Comment sections have not failed,Comment sections provide value. Therefore comment sections have not failed.,Comment sections lacking reduce reader respect. Therefore comment sections have failed.
They expose important points often left out by the author.,Comment sections have not failed,Comment sections expose important missing points. This shows continued success.,Comment sections often expose missing author points. This indicates failure.
Internet can help with diagnosis.,Medical websites are healthful,Internet provides diagnostic information. This information promotes wellness.,Internet can spread misinformation. Misinformation causes potential harm.
Anti-gayness is an antiquated view that is taught by various religions and only serves to keep people divided by ignorance.,Christians have created a harmful atmosphere for gays,Christianity teaches anti-gayness. This teaching creates harmful division.,Various religions teach antiquated views. Many groups oppose such divisive teachings.
Iran intends to kill every non-shia believer.,Iran remains a threat,Iran has a violent intention. This intention constitutes a continuing threat.,Iran's intention may not be achievable. Therefore the threat is diminished.
Air travel is a service that should be available and accountable to all citizens.,Government should regulate airline industry again,Air travel requires universal access and accountability. Government regulation ensures these public service goals.,Air travel is a service for all citizens. Market competition best achieves availability and accountability.
Comments section enable the democratic discussion of ideas.,Comment sections have not failed,Democratic discussion remains active. This activity signifies success.,Democratic discussion often faces disruption. This disruption indicates failure.
You can't go to the doctor for every little thing so websites help figure out when you need to call the doctor.,Medical websites are healthful,Websites guide appropriate medical consultation. This promotes beneficial health decisions.,Websites may provide inaccurate or alarming information. This can cause unnecessary anxiety or harm.
Too many people in powerful positions are turning a blind eye to Donald Trump and his actions.,Supreme court justice can denounce a candidate,Powerful positions include the Supreme Court. A justice can therefore denounce a candidate.,Turning a blind eye means not acting. A justice therefore cannot denounce a candidate.
The swimmers shouldn't have to swim in toxic water.,Brazil should postpone Olympics,Water in Brazil is toxic. The Olympics must be postponed.,Water quality can be improved quickly. The Olympics should proceed.
Even thinking about allowing guns on campus is deranged and shows that our society is not as civilized as we think.,Guns should not be permitted on college campuses,Allowing guns is deranged. Society must prohibit campus guns.,Society's lack of civilization is evident. Campus gun rules need reconsideration.
Diagnoses allowed teachers to provide enrichment lessons for the child instead of being disrupted by the child's inattention.,The A.D.H.D. diagnosis is helping kids,Diagnoses enable targeted educational support. This support aids children's learning.,Diagnoses may lead to unnecessary labeling. Labels can stigmatize and hinder children.
"Other countries invest in their youth's education, why can't we?",College should be free,Other countries provide free higher education. This model should be adopted.,Investment can take many different forms. Tuition fees enable better resource allocation.
Comment sections devolve into insults and demagoguery.,Comment sections have failed,Insults indicate a lack of constructive discourse. This absence signifies a failed purpose.,Demagoguery shows high user engagement. High engagement indicates successful platforms.
Comment sections are just a propaganda device.,Comment sections have failed,Propaganda devices serve specific agendas. Failing to serve them indicates failure.,Propaganda devices can be effective tools. Effectiveness contradicts the idea of failure.
The comment sections help me get an idea of how others feel about the articles.,Comment sections have not failed,Comment sections fulfill their purpose. Their function remains intact.,Comment sections can provide misleading information. Their function is often compromised.
"Reforming medicare would cause senior citizens to have to make decision, which they find increasingly difficult to do as they age.",Medicare doesn't need to be reformed,Reform creates difficult decisions for seniors. Avoiding difficulty means avoiding reform.,Reform creates difficult decisions for seniors. Difficult decisions may be necessary for improvement.
"Comments sections are useful, they provide a way for people to speak their minds.",Comment sections have not failed,Useful sections fulfill their purpose. Fulfilled purposes indicate no failure.,Useful sections can still have problems. Problems can constitute a failure.
A person who stole a car at 17 should not be barred from being a full citizen for life.,Felons should be allowed to vote,Some felonies involve youthful mistakes. Full citizenship includes voting rights.,Car theft is a specific minor offense. Many felonies are serious violent crimes.
If marijuana led to other drug use many more people would have serious drug addictions.,Marijuana is not a gateway drug,Serious drug addictions are not widespread. Marijuana use does not lead to other drugs.,Many people have serious drug addictions. Marijuana use leads to other drugs.
"Often times, I gain important insight and knowledge from the comment section.",Comment sections have not failed,Important insight is consistently gained. This consistent success means no failure.,Important insight is only sometimes gained. Inconsistent success indicates possible failure.
Addiction is a result of a personality trait and the symptoms of that trait are drug abuse.,Marijuana is not a gateway drug,"Addiction stems from a personality trait. Drug use is a symptom, not a cause.",Gateway drugs lead to harder substance abuse. Marijuana use precedes other drugs.
The way Iran conducts itself shows they are weak.,Iran doesn't remain a threat,Weakness reduces capacity for harm. Reduced capacity eliminates enduring danger.,Weakness can provoke desperate aggression. Desperate aggression increases persistent danger.
Airlines have become just as greedy as health care insurers and providers.,Government should regulate airline industry again,Greed harms consumers and service quality. Regulation corrects harmful corporate greed.,Greed is a natural market incentive. Market competition best corrects corporate behavior.
Iran's nuclear capabilities is a cause for worry.,Iran remains a threat,Nuclear capabilities indicate a potential danger. This danger constitutes a continuing threat.,Worry does not necessarily mean a current threat. Capabilities alone may not pose immediate danger.
Comment sections reveal important insights into people's thoughts and abuse can be countered by other comments.,Comment sections have not failed,Comment sections provide valuable insights. They also allow countering abuse.,Abuse often overwhelms comment sections. Insights are frequently drowned out.
"I was able to do considerable research on the cancer I was diagnosed with on my own, and my oncologist respected my knowledge and worked with me.",Medical websites are healthful,Research used medical websites. These websites provide beneficial health information.,Research may have used unreliable sources. Some online health information is harmful.
College students constant questioning of everything lead them to not be swayed by lies and promises.,College students' votes do matter in an election,Critical thinking leads to informed voting. Informed voting influences electoral outcomes.,Skepticism reduces trust in all candidates. Disengagement leads to lower voter turnout.
Iran has a religious dictatorship.,Iran remains a threat,Religious dictatorships often oppose regional stability. Such opposition constitutes a persistent threat.,Religious governance can promote internal order. Internal order reduces external threat perception.
There is nothing to prohibit their speech.,Supreme court justice can denounce a candidate,Supreme court justices have free speech. Denouncing a candidate is speech.,Judicial ethics restrict political activity. Such denouncements could be prohibited.
Offensive and low quality comments make high quality commentators leave if the website doesn't work to protect their comments section.,Comment sections have failed,Websites fail to protect comment sections. High quality commentators then leave.,Websites actively protect their comment sections. High quality commentators remain engaged.
"Some comments sections, like the NY Times, are well moderated and full of intellectual, thoughtful comments.",Comment sections have not failed,Well-moderated sections produce thoughtful comments. Successful examples show overall functionality.,Some sections being good does not prove all succeed. Many online comment sections remain toxic.
People learn a lot from comment sections.,Comment sections have not failed,Learning indicates success. Success means not failing.,Learning can occur despite failure. Failure can still happen.
A small group choose to interpret the Old Testament in its literal word that drive a harmful message.,Christians have created a harmful atmosphere for gays,A small group's literal interpretation spreads harm. This group's actions represent broader Christian influence.,A small group holds a literal interpretation. Most Christians reject such harmful interpretations.
Moderated comments are a great way for unlikely sources to have their opinions heard.,Comment sections have not failed,Moderated comments enable diverse opinions. This shows a core function works.,Moderation addresses only a specific issue. Many sections remain dysfunctional and toxic.
I wouldn't know about my illness without medical websites.,Medical websites are healthful,Medical websites provide crucial health information. This information promotes well-being.,Medical websites can cause unnecessary anxiety. Anxiety is not healthful.
They want to take advantage of higher tuitions paid by foreign and out of state students.,Public universities are neglecting in-state students,Universities prioritize enrolling higher-paying students. This reduces resources for local students.,Higher revenue from non-residents benefits all programs. This supports in-state student opportunities.
"Most users of prescription opioids for non-medical reasons don't end up using heroin, even though many heroin users have used opioids.",Marijuana is not a gateway drug,Opioid misuse rarely leads to heroin. Similar logic applies to marijuana.,Opioid misuse precedes heroin for many. Marijuana use could precede harder drugs.
Some church's have gay employees and members.,Christians have not created a harmful atmosphere for gays,Churches include gay individuals. This shows acceptance not harm.,Some churches have gay members. This does not prove overall safety.
"Comment sections complete incomplete articles even if the authors don't agree, it makes them better journalists.",Comment sections have not failed,Comment sections improve journalistic work. Therefore their purpose is fulfilled.,Comment sections may create adversarial relationships. This could indicate functional failure.
If Ryan cant prove Medicare expenses are too much for the country then it needs to be expanded to all ages and paid for by health insurance companies which would close their bushiness instead.,Medicare needs to be reformed,Medicare expansion requires insurance company funding. This funding necessitates systemic change.,Medicare expansion would close insurance companies. This outcome avoids reform necessity.
