Unnamed: 0,Premise,Claim,Helpful,Non-Helpful
57,Mike went back home after work for lunch.,He ate his slice on the couch in the dark in silence.,Mike had a slice for lunch. The living room couch was dark. Lunch was eaten quietly there.,Mike prepared a sandwich at home. The kitchen light was on. Lunch was eaten at the table.
58,Megan has been struggling with a drug habit for years.,She was able to get off drugs after some time.,Megan sought professional treatment. Megan maintained long-term commitment. Megan achieved sobriety.,Megan's addiction grew more severe. Megan faced repeated relapses. Megan continued using drugs.
59,May was accepted to college in Fredonia.,She even liked all of her professors.,May began attending classes. The professors were all excellent. May enjoyed every professor's teaching.,May began attending classes. The professors were often difficult. May disliked several professors' styles.
60,Toni had trouble sleeping.,She had the best sleep she had in a long time.,Trouble sleeping led to seeking help. Effective treatment resolved the issues. This resulted in excellent rest recently.,Trouble sleeping persisted throughout the night. Rest was fragmented and unsatisfying. Recent sleep remained poor and unrestful.
61,Toby took Kendra to an ice cream parlor for their first date.,The pair made plans for a second date the following weekend!,The first date was enjoyable. Both individuals had a good time. Future plans were arranged.,The date was awkward and unpleasant. No connection was established. No further meetings were scheduled.
62,My mother has a recipe for pumpkin bars that I like quite a lot.,I made pumpkin bars later in life and they reminded me of my mom.,Mother's recipe is fondly remembered. Later baking uses that recipe. The familiar result evokes mother's memory.,Mother's recipe is fondly remembered. Later baking uses a different recipe. The unfamiliar result evokes no specific memory.
63,James was a young man with a passion for great books.,Now his popular bookstore has many book clubs that meet regularly.,Passion leads to opening a bookstore. A popular store attracts community interest. This interest forms regular book clubs.,Passion does not guarantee business success. A bookstore may struggle to attract customers. Few activities occur at the struggling store.
64,Shawn was celebrating his first Christmas in his own place.,"It took him a couple of hours, but he was able to get it all right.",Setting up decorations requires time. Shawn persisted through the process. The final setup was successful.,Setting up decorations is complex. Shawn lacked prior experience. The final result had many mistakes.
65,Francis had given up on finding a lover.,Now Francis has no longer given up on finding a lover.,Francis experienced a change of heart. Francis decided to try again. Francis is now hopeful about love.,Francis remains discouraged about romance. Francis continues to avoid dating. Francis still believes love is impossible.
66,It was a beautiful Christmas morning and Stacey was going to bake.,"When they were done, she took to",Stacey baked on Christmas morning. Baking required multiple people. The finished bakers took to something.,Stacey baked on Christmas morning. Baking was a solo activity. The finished baker did not take to anything.
67,Today I took my jeep on a new trail.,I decided to never go off-roading without a friend.,The new trail presented unexpected challenges. The jeep got stuck without assistance. Future off-roading requires a companion.,The new trail was easily navigated alone. The jeep performed excellently without issues. Future off-roading can be done solo.
68,Susan went on a bike ride with a friend.,She landed hard on the ground breaking her arm.,A bike ride can involve accidents. Accidents cause hard falls. Hard falls can break an arm.,Bike rides are usually safe activities. Safe activities avoid injury. Riders often finish unharmed.
69,My girlfriend bought a car without telling me first.,She said that was a nice gesture but she ended up giving the cat away.,A car purchase was a surprise. The girlfriend called it nice. The cat was subsequently given away.,A car purchase was a surprise. The girlfriend called it nice. The cat was not given away.
70,"Gina's crush Jamie broke his leg, and was on crutches.",Jamie was so far ahead she worried she couldn't catch up with him.,Jamie moved quickly despite injury. Gina saw increasing distance. This caused her concern.,Crutches severely limit mobility. Moving ahead quickly is improbable. Gina likely had no trouble.
71,Kelly was rushing to get to her flight on time.,Kelly boarded the plane.,Rushing implies timely arrival. Timely arrival allows boarding. Boarding the plane occurs.,Rushing can cause lateness. Lateness prevents boarding. Missing the plane occurs.
72,Dave had just watched a video of dogs trying lemons.,Dave learned not to play mean tricks.,Video showed dogs reacting badly to lemons. Dogs' distress was clearly visible. Observing negative outcomes discourages mean tricks.,Video simply showed dogs tasting sour fruit. No explicit lesson about behavior was given. Watching animals does not change personal conduct.
73,Emily took her child to the zoo.,Emily's child walked closer to the lions.,Zoos often contain lion exhibits. Children explore animal enclosures. The child moved toward the lion area.,Zoos have many animal sections. The child preferred the reptile house. The child avoided the lion enclosure.
74,Earl considered himself a night owl.,Eventually he got a night job instead.,Night owls prefer nighttime activity. This preference suits night work. Earl pursued a night job.,Night owls enjoy staying up late. Day jobs offer better schedules. Earl found a day job.
75,Reggie woke up hungry one morning.,He cooked the eggs until they were no longer runny.,Reggie decided to make breakfast. Eggs were chosen for the meal. Cooking made the eggs solid.,Reggie decided to skip breakfast. Eggs were not available at home. The morning meal was cereal instead.
76,May was accepted to college in Fredonia.,She dropped out of school.,May enrolled at the college. May found the coursework too difficult. May left the institution.,May began attending classes. May excelled in her studies. May graduated with honors.
77,Jill was excited to ski for the first time.,When her dad asked why she said because she thought she'd see bunnies.,Jill associated skiing with snowy mountains. Snowy mountains are habitats for bunnies. This explains her stated reason.,Jill's excitement came from the sport itself. Skiing involves speed and slopes. This contradicts the bunny explanation.
78,"His son was a good boy, he had brown curly hair and kind eyes.","He was never the same kind, innocent boy again.",The son possessed kindness and innocence. A traumatic event changed the boy. The boy's fundamental nature was permanently altered.,The son had a gentle appearance and good character. The boy's inherent qualities remained constant. The boy retained his original kind and innocent nature.
79,Jan's boss won't stop hitting on her.,They fool her boss and he never bothers her again.,Jan's boss persists in unwanted advances. A clever deception is successfully executed. This stops the harassment permanently.,Jan's boss persists in unwanted advances. No effective action is taken against him. The harassment continues indefinitely.
80,"Walt wanted some ice cream, so he went to the store to get some.","When he opened up the ball, he ate his delicious ice cream.",Walt purchased ice cream at the store. The ice cream was inside a ball container. Opening the ball allowed consumption of the ice cream.,Walt purchased a different dessert at the store. The ball contained a toy or other item. The ice cream remained uneaten and separate.
81,My mother and I were hit by lightning.,Then we drove away.,Lightning strike survivors remain conscious. A nearby vehicle is functional. Survivors enter and operate the vehicle.,A lightning strike causes severe injury. Medical assistance is immediately required. Movement becomes impossible.
82,Nate was failing a lot of classes.,Soon they were married.,Nate sought tutoring from a classmate. The tutoring led to a close relationship. This relationship resulted in marriage.,Academic failure caused significant stress. Stress strained existing personal relationships. This strain prevented any marriage.
83,A woman was walking outside of a mall.,People looked at her like she was crazy.,The woman exhibited unusual behavior. This behavior drew public attention. The attention conveyed judgment of insanity.,The woman walked normally. Her appearance was ordinary. Observers showed no particular reaction.
84,"In Jeff's neighborhood there lived a nasty, old, Siamese cat.","When Jeff found out, he kicked the nasty cat.",Jeff discovered the nasty cat. Jeff disliked the nasty cat. Jeff then kicked the nasty cat.,Jeff discovered the nasty cat. Jeff felt pity for the old cat. Jeff avoided the nasty cat.
85,Kiki wanted to learn to play the piano.,Kiki eventually became very good at the piano!,Kiki practiced piano diligently. Kiki mastered many difficult pieces. Kiki achieved high skill.,Kiki lacked time for piano practice. Kiki found piano too challenging. Kiki abandoned the pursuit.
86,Rick was at the local pool.,"The child was so relieved, he cried with gratitude!",Rick rescued a drowning child. The child survived the scary incident. Relief caused grateful tears.,Rick enjoyed swimming alone. No incident occurred at the pool. The child felt no strong emotion.
87,Jake was walking home from his college class.,Jake brought a pizza slice to the man who was grateful for the meal.,Jake carried leftover pizza. A homeless man needed food. Jake offered the slice.,Jake walked directly home. No food was carried. No interaction occurred.
88,The true American walked to the town square with his flag.,He gave a salute and dropped a lit match on the flag.,The American arrived at the square. He saluted respectfully. The match burned the flag.,The American carried the flag proudly. He displayed it with honor. The flag remained unharmed.
89,My son and I were out hiking.,On the way home he stared out the window.,A car journey followed the hike. The son observed passing scenery. This occurred during the return trip.,The hike concluded at home. The son fell asleep immediately. No window gazing happened.
90,Fred's boss called him into the office at the propane filling station.,Fred's coworker who saw him assault his boss called the police.,Fred argued with his boss in the office. Fred assaulted his boss during the argument. A coworker witnessed the assault and called police.,Fred had a calm meeting with his boss. No assault occurred during the office meeting. The coworker had no reason to contact police.
91,Kimmy wanted to buy tickets for herself for a concert.,She made enough money for the concert.,Kimmy worked extra hours. Kimmy saved all her earnings. Kimmy's savings covered the ticket cost.,Kimmy's work hours were reduced. Kimmy spent earnings on other items. Kimmy's savings were insufficient.
92,"When I was seven years old, I went swimming with some friends.",My birthday was the best day ever.,The swimming event occurred on a birthday. Birthday celebrations involve fun activities. Fun birthday activities create the best days.,The swimming event happened at age seven. Many days occur at age seven. Many days can be better than a birthday.
93,Jamie wanted to buy her first car.,She drove out of the car lot filled with joy!,Jamie purchased a desired car. The purchase was successful. Driving away brought great happiness.,Jamie could not find a suitable car. The car lot had no good options. Leaving caused disappointment instead.
94,Amy was getting dressed for work.,Her feet sweated and stunk in her shoes at work.,Amy put on closed-toe shoes. Feet became hot during work. This caused sweat and odor.,Amy chose open sandals for work. Feet stayed cool and dry. No unpleasant smell developed.
95,Susan was at the pawn shop.,Susan eventually became very proficient at tap dancing.,Susan found tap shoes at the pawn shop. She practiced dancing every single day. This dedication built great skill.,Susan pawned her old tap shoes. She abandoned dancing for other hobbies. This led to no dance proficiency.
96,Katy hated her little brother.,They took her home and she never ran away again.,Katy ran away from home. Authorities found Katy. Katy accepted returning home permanently.,Katy's hatred caused constant conflict. Home remained an unhappy place. Katy eventually left for good.
97,We went to the park today.,I love going to the park!,The park visit was enjoyable. Enjoyment leads to positive feelings. Positive feelings indicate love for the activity.,The park visit was a routine obligation. Obligation does not imply enjoyment. Enjoyment is not necessary for the visit.
98,Joe stretched as he rolled over in bed.,Joe went back to sleep.,Joe was in bed. Stretching indicates waking up. Returning to sleep is likely.,Stretching suggests waking. Rolling over shows restlessness. Staying awake is probable.
99,Steve was very sad.,Steve wondered if they could ever get back together.,Sadness often follows a breakup. Breakups cause thoughts of reconciliation. Steve considered a potential reunion.,Sadness can stem from many sources. Sources include work or personal loss. Steve accepted the situation as final.
100,Lucas told everyone that he would never eat a peanut.,Lucas decided that he would never try something new again.,Lucas made a definitive statement about peanuts. This reflects a broader aversion to novelty. The decision extends to all new experiences.,Lucas made a statement about a specific food. Peanuts are not representative of all new things. The claim overgeneralizes a single preference.
101,I married a girl that I also work with.,She agreed that's a good idea and now we are much happier.,Marriage to a coworker was proposed. The proposal received agreement. Shared life brings increased happiness.,Marriage to a coworker was proposed. The proposal was rejected. This decision caused ongoing conflict.
102,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,Gardening involved regular plant care. Care improved the garden's health. The garden regained a vibrant green appearance.,Gardening was a neglected hobby. Plants lacked water and nutrients. The garden remained dull and brown.
103,Jake had been working hard all week long.,Jake had to cancel his plans due to car problems.,Hard work leads to fatigue. Fatigue reduces attention to vehicle maintenance. Neglect causes car problems forcing cancellations.,Hard work yields financial rewards. Extra income allows for car repairs. Functioning vehicles enable keeping plans.
104,Mason loved to work out.,"Turns out, Mason had gotten athlete's foot.",Mason frequented gyms and locker rooms. These environments harbor fungal infections. Mason contracted a common foot fungus.,Mason maintained excellent personal hygiene. Workouts strengthened Mason's immune system. Mason avoided all fungal infections.
105,Miley's mother asked her to write a Christmas list.,"Then, Miley waited and dreamed of what she would get for Christmas.",Miley wrote down desired gifts. The list created anticipation. Miley imagined future presents.,Miley refused to write any list. The request was promptly forgotten. Miley focused on other activities.
106,Jaiden was nervous about moving to a new home.,"Jaiden played into the afternoon, and felt his nervousness slip away.",Jaiden engaged in enjoyable play. The activity provided distraction and joy. Nervousness diminished over time.,Jaiden remained indoors and isolated. The solitude amplified anxious thoughts. Nervousness persisted throughout the day.
107,Rick had just recently gotten a smart watch.,Rick ended up missing his train because he didn't have the time.,A smart watch can display the time. Rick's new watch was not set up. Rick missed the train departure.,A smart watch shows the current time. Rick checked the watch frequently. Rick caught the train easily.
108,Jason went to a beach where there is typically no one.,She was beautiful and Jason couldn't help but introduce himself.,A beautiful person was present at the beach. Jason felt compelled to speak. Jason introduced himself to the person.,The beach was completely empty as usual. Jason saw no one there. Jason had no one to introduce himself to.
109,Daniel got home from a night out on the town.,Daniel went to check the breaker box.,Daniel found the house dark. Daniel suspected a power outage. Daniel investigated the electrical system.,Daniel found the house well-lit. Daniel went straight to bed. Daniel ignored any potential problems.
110,My mom gave me a plate of food.,My food became salty and I had to throw it away.,The plate of food was oversalted. The oversalted food was inedible. The inedible food was discarded.,The plate of food was perfectly seasoned. The seasoned food was delicious. The delicious food was eaten.
111,Dan frowned when the police lights appeared behind him.,"Chagrined, Dan accepted the cop's offer of a screwdriver to secure it.",Dan's frown indicates displeasure at being pulled over. The officer likely noticed a minor vehicle issue. Dan accepted a tool to fix the problem.,Dan's frown shows anger at the police stop. Dan may have refused any assistance from the officer. Dan drove away without securing the item.
112,Allie was wearing her favorite jeans.,She had to repair them.,Favorite jeans often get worn out. Worn-out jeans may need mending. Mending is a form of repair.,Favorite jeans are usually well-cared for. Well-cared jeans stay in good condition. Good condition means no repair needed.
113,Tim was waiting for the mail.,It was Sunday so there would be no mail.,Mail is not delivered on Sundays. Tim waited for mail. This waiting was in vain.,Mail delivery occurs every day. Tim expected a delivery. The wait was justified.
114,Ronny went to a local chicken fast food joint.,Ronny drove back to the store and demanded a refund.,Ronny received unsatisfactory food. Ronny returned to the restaurant. Ronny requested money back.,Ronny enjoyed the meal very much. Ronny continued driving home. Ronny wrote a positive review.
115,Greta played with her Jack in the box dozens of times.,Greta was so startled she ran crying to her mother.,Jack-in-the-box surprises can be startling. A surprise might occur unexpectedly. Startling surprises can cause crying.,Familiarity reduces surprise from repeated play. Expected actions are not startling. Calm reactions follow familiar events.
116,My daughter's school had a bake sale to raise money.,"At the end of the night, the school told me they sold were sold out.",Bake sales aim to sell all items. The event ran until night. All baked goods were purchased.,Bake sales often have leftover items. The event ended early. Some goods remained unsold.
117,Johnny was a very experimental guy.,He kicked his friend out and never talked to him again.,Experimental behavior can lead to drastic actions. Drastic actions may include ending friendships. Ending a friendship involves expulsion and silence.,Experimental people often seek new experiences. New experiences can involve making new friends. Making new friends requires maintaining old connections.
118,Sam loved Halloween,Everyone loved it and gave him compliments.,Sam's enjoyment was widely shared. The celebration received universal praise. All attendees offered Sam positive feedback.,Sam's opinion was an isolated case. Others disliked the Halloween event. No compliments were directed toward Sam.
119,Jane had a gymnastics competition on Friday.,She got a perfect score at her competition!,Jane performed exceptionally well. Every routine was flawless. The judges awarded maximum points.,Jane had a difficult performance. Several errors were made. The final score was low.
120,Todd decided to participate in his first half-marathon race.,He ended up finishing in second place.,Todd trained extensively for the event. The race featured many strong competitors. Todd's performance earned a runner-up finish.,Todd had little time to prepare properly. Many elite runners joined the competition. The final result was outside the top positions.
121,Donald wanted to run for president.,He was forced to abandon the race and go back to his business.,Donald faced unexpected financial troubles. These troubles required immediate personal attention. This forced a return to managing his business.,Donald secured strong campaign funding and support. Public polling showed a favorable lead. This momentum encouraged continuing the presidential campaign.
122,Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took pictures in Italy. Sally returned home. Sally shared pictures with friends.,Sally took no pictures in Italy. Sally returned home. Sally had nothing to show friends.
123,I woke up in the dark at a very early hour this morning.,The cat had shoved my door open and let herself in!,Waking early suggests an unusual disturbance. The door was found ajar. The cat often pushes doors open.,Waking early suggests an unusual disturbance. The door was found securely closed. No evidence suggests the cat entered.
