Unnamed: 0,Premise,Claim,Helpful,Non-Helpful
17,His skin was always chapped since he spent his time in the cold.,Mike wouldn't have to be out in the cold anymore.,Mike's chapped skin came from cold exposure. Avoiding cold prevents chapped skin.,Chapped skin indicates ongoing cold exposure. Cold exposure remains necessary for work.
18,My race car sounded like it needed a new engine.,My engine ran great again and I save money.,The engine was repaired instead of replaced. The repair fixed the problem cheaply.,The old engine was completely replaced. A new engine is very expensive.
19,Gin's climbed through a window to get into her house.,Her brothers raced each other to the one in the basement.,Gin's house has multiple windows. The brothers raced to a basement window.,The window accessed was on the main floor. The brothers remained upstairs.
20,Today Ally went to the beach.,Sally had to go home.,Ally and Sally went together. The beach trip ended early.,Ally went alone. Sally was already at home.
21,Julie decided to go out for a walk.,During her walk Julie found the dog and returned it to it's owner.,Julie encountered a lost dog. Julie located the dog's owner.,Julie took a walk alone. Julie completed the walk uneventfully.
22,Jimmy had to get a root canal.,He did not feel a thing and the procedure went smoothly.,The dentist used effective anesthesia. The root canal was completed without issues.,The anesthesia was insufficient. The procedure encountered complications.
23,Cynthia really loved video games.,After just a few months she had lost the weight.,Video games promoted physical activity. This activity led to weight loss.,Video games encouraged sedentary behavior. This behavior prevented weight loss.
24,Jorge has always wanted to learn his father's famous recipe for beans.,Jorge is proud he has finally learned his father's recipe for beans.,Jorge achieved a long-held personal goal. This achievement brings a sense of pride.,Jorge never managed to learn the recipe. The goal remains frustratingly unfulfilled.
25,Jenny wanted to learn how to ride a horse.,She decided to come back soon for another fun lesson.,Jenny took a riding lesson. The lesson was enjoyable.,Jenny took a riding lesson. The lesson was not enjoyable.
26,Evan forget to study for his math test.,Evan got an A on the test but his classmate was accused of cheating.,Evan performed well despite no preparation. High scores led to suspicion of another student.,Forgetting to study results in poor performance. No evidence of cheating emerged.
27,I wanted to do a different thing than the usual.,I brought the movie home and watched the whole thing.,Renting a movie was a novel activity. The movie was enjoyed completely at home.,A different activity was chosen outside the home. The movie remained unwatched on the shelf.
28,The man was sitting on the plane.,The man reported the kid to the flight attendants.,The kid was causing a disturbance. The man alerted the flight crew.,The kid was behaving perfectly. The man had no complaints.
29,Bill was late on the rent.,He had to move out within the month.,Late rent violates the lease agreement. This breach causes eviction proceedings.,Late rent may incur a small penalty. The landlord can offer a payment extension.
30,I asked my mother what she wanted me to make for Thanksgiving.,We loved the soup!,Mother requested soup for Thanksgiving. The soup was a great success.,Mother requested a different dish for Thanksgiving. The soup was not served.
31,2010 was the last year we had a real Christmas tree.,I had a stroke in 2011 and we have not had a real tree since.,The last real tree was in 2010. A stroke occurred the following year.,The last real tree was in 2010. No reason for the change is known.
32,I love taking long warm showers.,That's why I take two of them every day.,Love motivates repeated behavior. Long warm showers occur twice daily.,Love does not require repetition. Long warm showers happen only occasionally.
33,Susan always had stomach pain since she was little.,"She started treatment, and for the first time, felt healthy.",Treatment addressed the chronic stomach pain. This led to a new feeling of health.,Treatment failed to resolve the chronic condition. The stomach pain persisted without relief.
34,My stepmother was a wicked woman.,"I told my dad what she did, but he didn't believe me.",A wicked stepmother commits harmful acts. Reporting these acts results in disbelief.,A wicked stepmother hides her harmful acts. Reporting finds immediate belief and support.
35,We brought our cat home to our new house.,Now he comes to our house to yell and his at us.,The cat associates the new house with home. The cat expresses distress at the new location.,The cat feels comfortable in the new environment. The cat remains quiet and content indoors.
36,"Last Saturday, my wife went to a Christmas bazaar.",I hope we win some raffles.,Christmas bazaars often have raffles. Participating in raffles creates hope for winning.,Christmas bazaars sell crafts and food. Raffles are not a guaranteed event.
37,Liam wanted a new video game.,He was very proud of himself for saving his money.,Liam saved money for the purchase. Saving money brought great pride.,Liam spent all money immediately. No savings were accumulated.
38,Kelly was playing a soccer match for her University.,"It was a close game, but without Kelly, the team was unable to win.",Kelly's team needed her to win. The match was close but ended in loss.,Kelly's team performed well without her. The match was won decisively.
39,Adam forgot his lunch at home.,Adam was happy at his friend's generosity.,A friend shared lunch with Adam. Adam felt grateful for this kind act.,Adam had no lunch and felt hungry. Hunger caused frustration and disappointment.
40,Mark likes to play guitar.,Now he sounds better than ever!,Mark practices guitar often. Practice improves musical skill.,Mark rarely plays guitar now. Infrequent practice hinders skill development.
41,Tina couldn't stop whining about becoming broke.,"When the envelope was opened, several hundred dollars appeared.",Tina's financial distress was resolved. Unexpected money was found inside.,Tina's complaints continued without relief. The envelope remained disappointingly empty.
42,Mary was driving home one night after work.,Mary was very sad that she would have to pay for a repair.,The car experienced a sudden breakdown. Repair costs cause financial distress.,The drive was smooth and uneventful. The car required no maintenance.
43,Jon is a shortstop for his little league team.,Jon ended up hitting a walk off home run to win the championship game.,Shortstops are often skilled hitters. Jon's team reached the championship game final at-bat.,Shortstops primarily focus on defensive play. Championship games can be lost despite strong defense.
44,Randy was at an Indian restaurant.,Randy had never eaten anything so good before.,The restaurant served delicious Indian food. The meal was the best ever.,The restaurant served mediocre Indian food. The meal was not the best.
45,Harry went to the sock every day to relax and watch the sunset.,He talked with her instead and made a good friend.,Harry met someone at the sock. Conversation led to a friendship.,Harry always watched the sunset alone. No interaction occurred there.
46,Jason saw a huge crowd gathered in a park.,But fights broke out in the crowd too and surprised Jason.,A huge crowd gathered in a park. Fights broke out and surprised Jason.,A huge crowd gathered in a park. The crowd remained peaceful and unsurprising.
47,My boss quit and promoted me to her job.,I seem to be doing better so I guess that's good.,The promotion indicates strong performance. Strong performance suggests improvement is occurring.,A promotion can create immense new pressure. New pressure may hinder performance and progress.
48,A friend of mine owed me money and we agreed to meet at a park.,"We explained what happened, laughing, and shared our cookies.",The friend repaid the debt at the park. The meeting became a friendly social occasion.,The friend failed to appear at the park. The meeting was tense and resolved formally.
49,I went with my girlfriend to Jamaica.,We cannot wait to go back.,The trip to Jamaica was highly enjoyable. This creates a strong desire to return.,The trip to Jamaica was a terrible experience. This creates no desire to return.
50,I was playing on top of the monkey bars one day.,I had to go to the hospital.,A fall caused a serious injury. Medical attention was required.,Play concluded without incident. The day ended safely at home.
51,Michael always loved to gamble.,Michael lost all of his money and had to go home broke.,Gambling often leads to financial loss. Continuous gambling can result in losing all money.,Gambling can sometimes result in big wins. Successful gambling allows keeping all money.
52,I woke up so excited.,I grabbed my backpack and step into the unknown.,Excitement motivates preparation. Preparedness leads to new adventures.,Excitement can cause staying in bed. Staying in bed avoids new adventures.
53,I set up my coffee pot for coffee in the morning.,"Now, I make coffee everyday without a mess.",The coffee pot setup is reliable. This ensures daily clean coffee making.,The coffee pot setup could malfunction. This might cause daily spills.
54,Kelly was excited to attend a one direction concert.,"Just as she thought, they were super nice.",Kelly expected the band to be nice. The band members were super nice.,Kelly expected the band to be nice. The band members were rude.
55,Heather and Marcus were ready for the next step in their relationship.,They left the shelter without an animal.,The next step was visiting an animal shelter. The couple decided against adopting.,The next step was adopting a pet together. The shelter visit resulted in an adoption.
56,My mother has a recipe for pumpkin bars that I like quite a lot.,I never ate pumpkin bars after that day.,Mother's recipe was liked. Bars were not eaten later.,Mother's recipe was liked. Bars were eaten later.
57,Mike went back home after work for lunch.,He ate his slice on the couch in the dark in silence.,Mike had a slice for lunch. The couch was in dark silence.,Mike ate lunch at the kitchen table. The lights were on with music.
58,Megan has been struggling with a drug habit for years.,She was able to get off drugs after some time.,Megan sought professional help. This led to successful recovery.,Megan's addiction grew more severe. This resulted in continued drug use.
59,May was accepted to college in Fredonia.,She even liked all of her professors.,May attended the college. The professors were all likable.,May attended the college. The professors were not all likable.
60,Toni had trouble sleeping.,She had the best sleep she had in a long time.,Trouble led to seeking effective solutions. Solutions resulted in excellent rest.,Trouble persisted throughout the night. This caused continued poor sleep.
61,Toby took Kendra to an ice cream parlor for their first date.,The pair made plans for a second date the following weekend!,First dates at ice cream parlors often go well. A successful first date leads to planning another.,"Ice cream parlors can be casual, low-pressure venues. A casual date might not lead to future plans."
62,My mother has a recipe for pumpkin bars that I like quite a lot.,I made pumpkin bars later in life and they reminded me of my mom.,The recipe is strongly associated with mother. Baking the same food triggers memory.,The recipe was never actually used. Later baking created entirely new associations.
63,James was a young man with a passion for great books.,Now his popular bookstore has many book clubs that meet regularly.,Passion leads to opening a bookstore. A popular bookstore fosters many book clubs.,Passion remained a private hobby. The bookstore never became a community space.
64,Shawn was celebrating his first Christmas in his own place.,"It took him a couple of hours, but he was able to get it all right.",Setting up decorations required time. The setup was eventually completed successfully.,The unfamiliar task caused ongoing difficulty. The final result remained incorrect.
65,Francis had given up on finding a lover.,Now Francis has no longer given up on finding a lover.,Francis changed perspective. Francis now seeks a lover.,Francis remains hopeless. Francis continues avoiding romance.
66,It was a beautiful Christmas morning and Stacey was going to bake.,"When they were done, she took to",Stacey baked with others. The finished goods were delivered.,Stacey baked alone. The finished goods were eaten at home.
67,Today I took my jeep on a new trail.,I decided to never go off-roading without a friend.,The new trail presented unexpected dangers. Off-roading alone is too risky.,The new trail was easy and enjoyable. Off-roading alone is perfectly safe.
68,Susan went on a bike ride with a friend.,She landed hard on the ground breaking her arm.,A bike accident occurred during the ride. The accident caused a hard landing and arm break.,The bike ride concluded without incident. Susan returned home completely unharmed.
69,My girlfriend bought a car without telling me first.,She said that was a nice gesture but she ended up giving the cat away.,The car purchase was a surprise. This surprise led to giving the cat away.,The car purchase was a surprise. This surprise required keeping the cat.
70,"Gina's crush Jamie broke his leg, and was on crutches.",Jamie was so far ahead she worried she couldn't catch up with him.,Jamie moved quickly despite crutches. Gina felt unable to match his pace.,Crutches severely limit a person's speed. Gina easily caught up with Jamie.
71,Kelly was rushing to get to her flight on time.,Kelly boarded the plane.,Kelly arrived at the gate before departure. The boarding process was completed successfully.,Kelly missed the flight despite rushing. The plane departed without her.
72,Dave had just watched a video of dogs trying lemons.,Dave learned not to play mean tricks.,Dogs reacted badly to sour lemons. Seeing this taught Dave to avoid tricks.,Dogs enjoyed the sour lemon experience. This encouraged more playful teasing.
73,Emily took her child to the zoo.,Emily's child walked closer to the lions.,The zoo contains lion enclosures. The child approached the lion area.,The zoo has many animal exhibits. The child avoided the lion enclosure.
74,Earl considered himself a night owl.,Eventually he got a night job instead.,Earl preferred nighttime activity. This led to a night job.,Earl disliked working at night. This led to a day job.
75,Reggie woke up hungry one morning.,He cooked the eggs until they were no longer runny.,Reggie prepared eggs for breakfast. The eggs were cooked thoroughly.,Reggie chose cereal instead. The eggs remained raw and runny.
76,May was accepted to college in Fredonia.,She dropped out of school.,May attended the college. May later left the institution.,May enrolled at the college. May continued her studies there.
77,Jill was excited to ski for the first time.,When her dad asked why she said because she thought she'd see bunnies.,Jill's excitement came from an expectation. The expectation involved seeing bunnies on the slopes.,Jill's excitement came from the skiing itself. The skiing activity was the sole reason given.
78,"His son was a good boy, he had brown curly hair and kind eyes.","He was never the same kind, innocent boy again.",The son possessed kind eyes and a good nature. A traumatic event changed the boy's innocence.,The boy's appearance included brown curly hair. The son remained a kind and innocent person.
79,Jan's boss won't stop hitting on her.,They fool her boss and he never bothers her again.,Jan's colleagues devise a clever trick. The boss is embarrassed and stops.,The boss's behavior escalates despite complaints. Jan is forced to quit her job.
80,"Walt wanted some ice cream, so he went to the store to get some.","When he opened up the ball, he ate his delicious ice cream.",Walt purchased ice cream at the store. The ice cream was inside a ball container.,Walt found the store closed. The ball contained a toy instead.
81,My mother and I were hit by lightning.,Then we drove away.,The lightning strike caused no lasting injury. The car remained functional after the event.,The lightning strike caused severe incapacitation. The vehicle was damaged and inoperable.
82,Nate was failing a lot of classes.,Soon they were married.,Nate sought academic help from a tutor. The tutor and Nate fell in love.,Nate focused solely on improving his grades. This left no time for relationships.
83,A woman was walking outside of a mall.,People looked at her like she was crazy.,The woman behaved unusually. This unusual behavior drew strange looks.,The woman acted completely normally. Her normal appearance drew no attention.
84,"In Jeff's neighborhood there lived a nasty, old, Siamese cat.","When Jeff found out, he kicked the nasty cat.",Jeff discovered the cat's presence. Jeff then kicked the nasty animal.,Jeff discovered the cat's presence. Jeff then avoided the nasty animal.
85,Kiki wanted to learn to play the piano.,Kiki eventually became very good at the piano!,Kiki practiced piano diligently. Dedication led to great skill.,Kiki quickly lost interest. The piano remained unplayed.
86,Rick was at the local pool.,"The child was so relieved, he cried with gratitude!",Rick saved a child from drowning. The rescued child felt immense relief.,Rick ignored a child struggling in the water. The child remained distressed and upset.
87,Jake was walking home from his college class.,Jake brought a pizza slice to the man who was grateful for the meal.,Jake carried leftover pizza. A hungry man received the food.,Jake walked directly home. No food was shared.
88,The true American walked to the town square with his flag.,He gave a salute and dropped a lit match on the flag.,The true American saluted the flag. The true American burned the flag with a match.,The true American displayed the flag respectfully. The true American protected the flag from fire.
89,My son and I were out hiking.,On the way home he stared out the window.,A car ride followed the hike. The boy looked through the glass.,The hike concluded at the trailhead. The boy fell asleep immediately.
90,Fred's boss called him into the office at the propane filling station.,Fred's coworker who saw him assault his boss called the police.,Fred argued with his boss in the office. A coworker witnessed Fred assault his boss.,Fred met his boss for a routine meeting. No incident occurred requiring police involvement.
91,Kimmy wanted to buy tickets for herself for a concert.,She made enough money for the concert.,Kimmy worked extra hours. Earnings covered the ticket cost.,Kimmy did not find extra work. The tickets were too expensive.
92,"When I was seven years old, I went swimming with some friends.",My birthday was the best day ever.,The swimming trip happened on a birthday. That day was the best ever.,The swimming trip was just a regular day. Many other days were better.
93,Jamie wanted to buy her first car.,She drove out of the car lot filled with joy!,Jamie purchased a first car. The purchase brought great joy.,Jamie could not afford any car. The car lot left Jamie disappointed.
94,Amy was getting dressed for work.,Her feet sweated and stunk in her shoes at work.,Amy put on closed-toe shoes. Feet became hot and odorous later.,Amy chose open sandals for work. Feet remained cool and fresh.
95,Susan was at the pawn shop.,Susan eventually became very proficient at tap dancing.,Susan found tap shoes at the pawn shop. Regular practice led to great skill.,Susan sold her tap shoes at the pawn shop. She never danced again.
96,Katy hated her little brother.,They took her home and she never ran away again.,Katy ran away from home. Authorities returned Katy home.,Katy's hatred caused constant conflict. Family strife led to repeated escapes.
97,We went to the park today.,I love going to the park!,The park visit was enjoyable. Enjoyment leads to loving the activity.,The park visit was a chore. Chores are not loved activities.
98,Joe stretched as he rolled over in bed.,Joe went back to sleep.,Joe was in bed. Joe resumed sleeping.,Joe was awake. Joe got out of bed.
99,Steve was very sad.,Steve wondered if they could ever get back together.,Sadness often follows a breakup. This leads to thoughts of reconciliation.,Sadness can stem from many causes. Work stress causes personal reflection.
100,Lucas told everyone that he would never eat a peanut.,Lucas decided that he would never try something new again.,Peanuts are a new food. Avoiding new foods means no new experiences.,Peanut refusal is a specific choice. Specific choices do not define all future actions.
101,I married a girl that I also work with.,She agreed that's a good idea and now we are much happier.,Marriage to a coworker was mutually approved. This mutual approval increased shared happiness.,Marriage to a coworker created professional complications. These complications reduced overall happiness.
102,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,Gardening efforts improved the yard. The garden became healthy and vibrant.,Gardening was neglected over time. The garden remained dull and brown.
103,Jake had been working hard all week long.,Jake had to cancel his plans due to car problems.,Hard work leads to exhaustion. Exhaustion causes oversight of vehicle maintenance.,Hard work yields financial rewards. Financial rewards enable car repairs.
104,Mason loved to work out.,"Turns out, Mason had gotten athlete's foot.",Mason frequented gyms and locker rooms. These damp environments can cause fungal infections.,Mason always wore protective footwear. Proper hygiene prevents fungal infections.
105,Miley's mother asked her to write a Christmas list.,"Then, Miley waited and dreamed of what she would get for Christmas.",Miley wrote down desired gifts. Anticipation followed the list completion.,Miley refused to write any list. The request was promptly forgotten.
106,Jaiden was nervous about moving to a new home.,"Jaiden played into the afternoon, and felt his nervousness slip away.",Playing provided distraction. Distraction eased nervous feelings.,Nervousness prevented any play. Anxiety persisted throughout the day.
107,Rick had just recently gotten a smart watch.,Rick ended up missing his train because he didn't have the time.,A smart watch can display the time. Rick failed to check the watch.,A smart watch reliably shows the time. Rick arrived early for the train.
108,Jason went to a beach where there is typically no one.,She was beautiful and Jason couldn't help but introduce himself.,A beautiful woman was unexpectedly present. Jason felt compelled to meet her.,The beach remained completely deserted. Jason saw no one to approach.
109,Daniel got home from a night out on the town.,Daniel went to check the breaker box.,Daniel found the house dark. Daniel investigated the power outage.,Daniel found the house well-lit. Daniel proceeded to bed.
110,My mom gave me a plate of food.,My food became salty and I had to throw it away.,The food had excessive salt added. This made the meal inedible.,The food was perfectly seasoned. The meal was enjoyed completely.
111,Dan frowned when the police lights appeared behind him.,"Chagrined, Dan accepted the cop's offer of a screwdriver to secure it.",Dan was pulled over for a vehicle violation. The officer offered a tool to fix it.,Dan refused the officer's assistance. Dan drove away without the tool.
112,Allie was wearing her favorite jeans.,She had to repair them.,Favorite jeans are often old and worn. Worn jeans may need mending.,Favorite jeans are usually well cared for. Well-cared-for jeans are not damaged.
113,Tim was waiting for the mail.,It was Sunday so there would be no mail.,Mail service does not operate on Sunday. Waiting implies expectation of delivery.,Mail service operates every day. Waiting indicates mail will arrive.
114,Ronny went to a local chicken fast food joint.,Ronny drove back to the store and demanded a refund.,Ronny received unsatisfactory food. Ronny returned to request money back.,Ronny enjoyed the meal at home. Ronny had no reason to return.
115,Greta played with her Jack in the box dozens of times.,Greta was so startled she ran crying to her mother.,Jack in the box can startle people. A startling event caused distress.,Repeated play leads to familiarity. Familiarity reduces surprise reactions.
116,My daughter's school had a bake sale to raise money.,"At the end of the night, the school told me they sold were sold out.",Bake sales aim to sell all items. Successful sales often deplete stock completely.,Bake sales might have leftover items. Some events do not achieve full sales.
117,Johnny was a very experimental guy.,He kicked his friend out and never talked to him again.,Experimental behavior can lead to drastic actions. Such actions may include ending a friendship permanently.,Experimental behavior often involves trying new relationships. This could mean making new friends instead.
118,Sam loved Halloween,Everyone loved it and gave him compliments.,Sam's enjoyment was widely shared. Others expressed admiration for his celebration.,Sam's personal enjoyment was unique. Others did not share his enthusiasm.
119,Jane had a gymnastics competition on Friday.,She got a perfect score at her competition!,Jane performed exceptionally well. A perfect score was achieved.,Jane performed poorly. A low score was achieved.
120,Todd decided to participate in his first half-marathon race.,He ended up finishing in second place.,Todd trained diligently for the event. This strong performance secured a high finish.,Todd suffered an injury during the race. This forced an early withdrawal.
121,Donald wanted to run for president.,He was forced to abandon the race and go back to his business.,Donald faced insurmountable campaign obstacles. This compelled a return to business operations.,Donald secured the necessary nomination support. This enabled a continued presidential campaign effort.
122,Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took pictures in Italy. Sally shared those pictures with friends.,Sally did not take any pictures. Sally had no pictures to show.
123,I woke up in the dark at a very early hour this morning.,The cat had shoved my door open and let herself in!,A cat often enters rooms early. The door opening caused the waking.,Early waking can have many causes. No evidence suggests a cat entered.
124,I was taking a walk through my neighborhood.,The third man was being arrested for drunken driving.,A police stop involved three men. The third man failed a sobriety test.,A street festival featured three performers. The third man received a standing ovation.
125,Cade is struggling to read.,"Cade's reading improved so much, soon one chapter just wasn't enough!",Cade practiced reading consistently. Reading skills developed a strong appetite for more.,Cade's reading difficulties continued without progress. Reading remained a slow and challenging task.
126,My friend Beth came to town for a visit.,I felt like I had made a new friend.,Beth's visit deepened our existing friendship. This closeness felt like a new beginning.,Beth's visit felt routine and familiar. The encounter lacked any novel connection.
127,Carl was 6 foot 2 and weighed 220 pounds.,He approached a white girl in a hallway and she hollered in fear.,Carl is a large imposing figure. A girl reacted with fear to his approach.,Carl's size may suggest a gentle nature. The girl remained calm in the hallway.
128,Sam got a cold one day.,Sam had to take medicine and rest for a week.,A cold often requires medical treatment. Recovery typically involves a week of rest.,Colds usually resolve without intervention. Many people recover quickly without medicine.
129,The little girl went hiking in the mountains with her dad.,Her dad came and carried her to safety.,The hike presented a dangerous situation. The father rescued the child.,The hike concluded without any problems. Both returned home independently.
130,Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,Marvin completed a tour of duty. Marvin proposed to Sarah joyfully.,Marvin remained in the military indefinitely. Marvin did not propose to anyone.
131,The rodeo came to town.,It was a great time for all.,The rodeo offered exciting entertainment. Everyone enjoyed the thrilling events.,The rodeo caused significant disruption. Many residents found it unpleasant.
132,The city wanted to build a mall.,When the mall was done it was so beautiful.,The city built a beautiful mall. The completed structure was aesthetically pleasing.,The city constructed a functional mall. The finished building was merely adequate.
133,I joined a fantasy football league for the first time this year.,I was very disappointed.,The fantasy football league had a terrible outcome. This terrible outcome caused great disappointment.,The fantasy football league was a great success. This great success brought much joy.
134,Tim drew robots all the time.,"His mom tore up the ones she thought were bad, and made him draw more.",Tim's mom judged his robot drawings. She enforced redrawing for improvement.,Tim's drawings were always kept. His mom never demanded more art.
135,Since a teenager I wanted to be a published author.,"The book sold 10 copies, making me $100.",The author achieved the goal of publication. Each copy sold earned ten dollars.,Publication does not guarantee any sales. The book may not have earned money.
136,My daughter started playing softball at eight.,I cheered wildly.,Parents often attend children's sporting events. Supportive parents express excitement during games.,Sporting events can be observed quietly. Some parents remain calm during competitions.
137,Just before my normal lunch time I got a phone call.,We had an amazing time!,The phone call invited to a fun event. The event was thoroughly enjoyable.,The phone call brought bad news. The news ruined the entire day.
138,Tom and Sue decided to have a picnic in the park.,They return to their blanket to discover ants had invaded their meal.,Picnics often attract insects like ants. Ants can quickly infest unattended food.,The picnic was eaten immediately after arrival. The blanket remained undisturbed and clean.
139,Leia had always been courteous to her fellow employees.,Everybody smelled the alcohol on Leia's breath.,Leia's courtesy did not hide her condition. Colleagues detected alcohol on her breath.,Leia's courtesy masked her personal state. No one detected any unusual scent.
140,Gina needed to find something to fit in the door handle slot.,"It was a long shot, but she had to try everything.",The available options were unlikely to work. Desperation required testing all possibilities.,A suitable item was easily found nearby. The situation did not require extreme measures.
141,Bree and her friends were playing on her trampoline.,She was badly hurt and all of her friends decided not to jump.,An accident occurred during the trampoline play. This caused injury and stopped further jumping.,The trampoline play concluded without incident. Everyone continued jumping safely afterward.
142,Two young women decided to go for a ten mile run near the AFB.,The people chased the wolf away and the two women were fine.,A wolf threatened the women during the run. Nearby people intervened and chased the wolf away.,The women completed their run without incident. No wolf or other threat appeared.
143,Adler tried to place a fire ant in his brother's bed.,He decided to send Adler to summer camp.,Adler's action was a harmful prank. This behavior warranted disciplinary action.,Adler's action was a harmless joke. This behavior did not require punishment.
144,The Entree meals were distributed to the judges.,The official disqualified the contestant who made the plate.,A judge found a problem with the distributed meal. The official then disqualified the responsible contestant.,The judges received the meals without issue. No contestant faced disqualification.
145,Nick was a student at a large university.,Nick and Phil became close friends.,Nick met Phil at the university. Their friendship grew very close.,Nick never interacted with Phil. The two remained distant acquaintances.
146,"Mary and her boyfriend, Mark, went to a wedding.",Mary and Mark were banned from the wedding reception.,The couple caused a major disturbance. This led to their removal.,The couple behaved appropriately at the event. They enjoyed the celebration.
147,Danny when to the park all by himself.,When Danny got home he told his mom how much fun he had.,Danny had fun at the park. Danny shared the experience at home.,Danny did not have fun at the park. Danny did not share the experience.
148,Professor Smith was a well liked teacher of black history.,"Professor Smith asked for forgiveness, he'd recently had a stroke.",A stroke can cause regrettable behavior. The professor sought forgiveness for his actions.,A well-liked teacher maintains good conduct. No forgiveness was needed from the professor.
149,Amanda was having a very rough day.,"Amanda decided to call out of work, as her day started out bad.",A rough day can prompt avoiding work. Calling out follows a bad start.,A rough day might require perseverance. Work attendance could still happen.
150,Neil wanted to see the mountains of Asia.,Neil loved being so close to the mountains in Nepal!,Neil visited Nepal's mountains. The experience brought great joy.,Neil saw other Asian mountains instead. The Nepal trip was disappointing.
151,"Every day, Donald starts his mornings by eating a box of donuts.",He was soaking wet by the time he got back to his front door.,Morning donut trips require going outside. Rain can make someone soaking wet.,Morning donut eating is an indoor activity. Dry conditions keep a person dry.
152,Karen didn't wash her hands after visiting her sick friend.,She came down with the same fever and cough her friend had.,Germs can transfer through contact. This leads to catching the illness.,Handwashing is not the only transmission route. Other factors prevent infection.
153,I came to school drowsy since I spent all night studying for exams.,We took our phone numbers down to arrange another meet up.,Studying all night implies meeting classmates. Exchanging contacts facilitates future plans.,Being drowsy suggests solitary activity. Fatigue prevents social arrangements.
154,Harry was a lonely man.,After talking for a short while they each left the shop separately.,Harry met someone in a shop. A brief conversation ended separately.,Harry remained alone in the shop. No conversation led to separate departures.
155,The Anderson family wanted to take a big vacation.,They decided to take a family trip on an annual basis.,A big vacation became a regular tradition. Family trips are now scheduled yearly.,A big vacation was a one-time event. Future trips were not planned annually.
156,David and Pam went to a coffee shop.,So she blamed the coffee shop for her cup having a broken lid.,Pam received a cup with a broken lid. The coffee shop was responsible for the damage.,Pam received a cup in perfect condition. The coffee shop was not at fault.
