Unnamed: 0,Premise,Claim,Helpful,Non-Helpful
17,His skin was always chapped since he spent his time in the cold.,Mike wouldn't have to be out in the cold anymore.,Mike's chapped skin indicates cold exposure ending.,Chapped skin from the cold implies continued exposure.
18,My race car sounded like it needed a new engine.,My engine ran great again and I save money.,The engine was repaired instead of replaced.,The engine was replaced at great expense.
19,Gin's climbed through a window to get into her house.,Her brothers raced each other to the one in the basement.,Brothers raced to the basement window.,Brothers raced away from the house.
20,Today Ally went to the beach.,Sally had to go home.,Ally and Sally went together before Sally left.,Ally went alone so Sally stayed out.
21,Julie decided to go out for a walk.,During her walk Julie found the dog and returned it to it's owner.,A walk can lead to finding and returning a lost dog.,A walk may involve no interaction with any animals.
22,Jimmy had to get a root canal.,He did not feel a thing and the procedure went smoothly.,Root canals often use anesthesia for painless smooth procedures.,Root canals can be painful and sometimes encounter complications.
23,Cynthia really loved video games.,After just a few months she had lost the weight.,Video games promoted active play and weight loss.,Video games encouraged sedentary behavior and weight gain.
24,Jorge has always wanted to learn his father's famous recipe for beans.,Jorge is proud he has finally learned his father's recipe for beans.,Achieving a long-held goal brings personal pride.,Fulfilling a desire does not guarantee pride.
25,Jenny wanted to learn how to ride a horse.,She decided to come back soon for another fun lesson.,Jenny enjoyed her first riding lesson.,Jenny found the lesson scary and unpleasant.
26,Evan forget to study for his math test.,Evan got an A on the test but his classmate was accused of cheating.,Evan's unexpected high score raised suspicions about another student.,Evan's poor preparation resulted in a failing test grade.
27,I wanted to do a different thing than the usual.,I brought the movie home and watched the whole thing.,Choosing a movie provided a different evening activity.,Choosing a different activity meant avoiding movies entirely.
28,The man was sitting on the plane.,The man reported the kid to the flight attendants.,The man observed disruptive kid behavior during the flight.,The man ignored the kid's presence entirely.
29,Bill was late on the rent.,He had to move out within the month.,Late rent triggers a mandatory eviction notice.,Late rent was forgiven with a warning.
30,I asked my mother what she wanted me to make for Thanksgiving.,We loved the soup!,Mother requested soup for Thanksgiving dinner.,Mother requested a different dish for Thanksgiving dinner.
31,2010 was the last year we had a real Christmas tree.,I had a stroke in 2011 and we have not had a real tree since.,A stroke in 2011 prevented subsequent real Christmas trees.,A stroke in 2011 did not affect Christmas tree choices.
32,I love taking long warm showers.,That's why I take two of them every day.,Loving showers leads to taking two daily.,Loving showers does not require taking two daily.
33,Susan always had stomach pain since she was little.,"She started treatment, and for the first time, felt healthy.","Treatment addressed chronic pain, leading to new health.","Treatment failed, so chronic pain persisted without health."
34,My stepmother was a wicked woman.,"I told my dad what she did, but he didn't believe me.",Wicked stepmother's actions prompted reporting to dad.,Wicked stepmother's actions were never reported to dad.
35,We brought our cat home to our new house.,Now he comes to our house to yell and his at us.,The cat associates the new house with territory.,The cat avoids the new house entirely.
36,"Last Saturday, my wife went to a Christmas bazaar.",I hope we win some raffles.,Christmas bazaars often have raffles for attendees.,Christmas bazaars may not include raffle events.
37,Liam wanted a new video game.,He was very proud of himself for saving his money.,Wanting a game motivated saving money successfully.,Wanting a game led to spending money immediately.
38,Kelly was playing a soccer match for her University.,"It was a close game, but without Kelly, the team was unable to win.",Kelly's performance was crucial for the team's victory.,The team won despite Kelly's absence.
39,Adam forgot his lunch at home.,Adam was happy at his friend's generosity.,"A friend shared lunch, making Adam happy.",Adam's friend refused to share any food.
40,Mark likes to play guitar.,Now he sounds better than ever!,Practice improves guitar playing quality.,Guitar playing may not improve over time.
41,Tina couldn't stop whining about becoming broke.,"When the envelope was opened, several hundred dollars appeared.",Tina's financial distress ended with a discovered cash-filled envelope.,Tina's complaints continued as the opened envelope remained empty.
42,Mary was driving home one night after work.,Mary was very sad that she would have to pay for a repair.,Driving home caused car damage requiring costly repair payment.,Driving home proceeded smoothly without any incident or cost.
43,Jon is a shortstop for his little league team.,Jon ended up hitting a walk off home run to win the championship game.,Shortstops can be good hitters and win games.,"Shortstops often focus on defense, not hitting."
44,Randy was at an Indian restaurant.,Randy had never eaten anything so good before.,Indian restaurant food was exceptionally delicious.,Indian restaurant food was mediocre and unremarkable.
45,Harry went to the sock every day to relax and watch the sunset.,He talked with her instead and made a good friend.,Harry met someone there and developed a friendship.,Harry remained alone and watched the sunset quietly.
46,Jason saw a huge crowd gathered in a park.,But fights broke out in the crowd too and surprised Jason.,"A huge crowd gathered, then fights broke out, surprising Jason.","A huge crowd gathered peacefully, so no fights occurred."
47,My boss quit and promoted me to her job.,I seem to be doing better so I guess that's good.,Promotion indicates good performance and positive progress.,Sudden promotion may bring stress and uncertain performance outcomes.
48,A friend of mine owed me money and we agreed to meet at a park.,"We explained what happened, laughing, and shared our cookies.",Meeting resolved the debt amicably with laughter and cookies.,Meeting involved a tense discussion without sharing any food.
49,I went with my girlfriend to Jamaica.,We cannot wait to go back.,Jamaica was an enjoyable vacation destination.,Jamaica was a disappointing vacation destination.
50,I was playing on top of the monkey bars one day.,I had to go to the hospital.,A fall from monkey bars caused a serious injury.,Monkey bar play concluded without any incident.
51,Michael always loved to gamble.,Michael lost all of his money and had to go home broke.,Gambling often leads to significant financial loss.,Gambling can sometimes result in big winnings.
52,I woke up so excited.,I grabbed my backpack and step into the unknown.,Excitement prompts gathering gear for adventure.,Excitement leads to staying home comfortably.
53,I set up my coffee pot for coffee in the morning.,"Now, I make coffee everyday without a mess.",Proper setup ensures consistent and clean daily coffee.,"Setup may fail, causing messy spills every day."
54,Kelly was excited to attend a one direction concert.,"Just as she thought, they were super nice.",Kelly's positive expectations about the band were confirmed.,Kelly's positive expectations about the band were contradicted.
55,Heather and Marcus were ready for the next step in their relationship.,They left the shelter without an animal.,A shelter visit for adoption ended without choosing a pet.,The next step involved adopting a pet together.
56,My mother has a recipe for pumpkin bars that I like quite a lot.,I never ate pumpkin bars after that day.,Mother's pumpkin bars were liked but later never eaten.,Mother's pumpkin bars were liked and possibly eaten again.
57,Mike went back home after work for lunch.,He ate his slice on the couch in the dark in silence.,"Mike had lunch at home, eating pizza quietly without lights.",Mike ate lunch at the kitchen table with lights on.
58,Megan has been struggling with a drug habit for years.,She was able to get off drugs after some time.,Megan's struggle ended with successful recovery.,Megan's struggle continued without overcoming addiction.
59,May was accepted to college in Fredonia.,She even liked all of her professors.,College acceptance leads to positive academic experiences.,College acceptance does not guarantee positive professor relationships.
60,Toni had trouble sleeping.,She had the best sleep she had in a long time.,Trouble sleeping led to effective treatment and restful night.,Trouble sleeping continued resulting in another restless night.
61,Toby took Kendra to an ice cream parlor for their first date.,The pair made plans for a second date the following weekend!,A successful first date leads to planning future meetings.,A first date does not guarantee future arrangements.
62,My mother has a recipe for pumpkin bars that I like quite a lot.,I made pumpkin bars later in life and they reminded me of my mom.,Baking mother's recipe evokes fond memories of her.,Later pumpkin bars lacked connection to mother's recipe.
63,James was a young man with a passion for great books.,Now his popular bookstore has many book clubs that meet regularly.,Passion led to opening a popular bookstore with clubs.,Passion remained personal without starting any bookstore.
64,Shawn was celebrating his first Christmas in his own place.,"It took him a couple of hours, but he was able to get it all right.",Decorating a new home requires time and effort.,Setting up decorations proved too difficult and frustrating.
65,Francis had given up on finding a lover.,Now Francis has no longer given up on finding a lover.,Francis found new hope for romantic connection.,Francis remains hopeless about romantic prospects.
66,It was a beautiful Christmas morning and Stacey was going to bake.,"When they were done, she took to",Baking was completed on Christmas morning.,Baking was interrupted on Christmas morning.
67,Today I took my jeep on a new trail.,I decided to never go off-roading without a friend.,New trail off-roading alone prompted a safety decision.,New trail off-roading alone was perfectly safe.
68,Susan went on a bike ride with a friend.,She landed hard on the ground breaking her arm.,A bike ride accident caused a hard landing and broken arm.,The bike ride concluded without any incident or injury.
69,My girlfriend bought a car without telling me first.,She said that was a nice gesture but she ended up giving the cat away.,The car purchase prompted a pet relocation decision.,The car purchase had no impact on pet ownership.
70,"Gina's crush Jamie broke his leg, and was on crutches.",Jamie was so far ahead she worried she couldn't catch up with him.,"Jamie moved quickly despite crutches, creating a large gap.","Crutches slow movement, preventing Jamie from getting ahead."
71,Kelly was rushing to get to her flight on time.,Kelly boarded the plane.,Rushing suggests Kelly reached the gate and boarded.,Rushing may have caused Kelly to miss boarding.
72,Dave had just watched a video of dogs trying lemons.,Dave learned not to play mean tricks.,Watching dogs react negatively teaches avoiding mean tricks.,Watching funny dog videos encourages playful trick imitation.
73,Emily took her child to the zoo.,Emily's child walked closer to the lions.,Zoo visits often involve viewing animal enclosures like lions.,The child remained in the stroller away from exhibits.
74,Earl considered himself a night owl.,Eventually he got a night job instead.,Night owls prefer nighttime activity leading to night jobs.,Night owls often avoid structured work schedules.
75,Reggie woke up hungry one morning.,He cooked the eggs until they were no longer runny.,Hunger leads to cooking solid eggs.,Hunger leads to eating raw eggs.
76,May was accepted to college in Fredonia.,She dropped out of school.,Acceptance does not guarantee continued enrollment.,College acceptance often leads to graduation.
77,Jill was excited to ski for the first time.,When her dad asked why she said because she thought she'd see bunnies.,First-time skiing excitement stemmed from expecting bunny sightings.,Skiing excitement came from the thrill not from seeing animals.
78,"His son was a good boy, he had brown curly hair and kind eyes.","He was never the same kind, innocent boy again.",The son's kind innocence was permanently lost.,The boy's kind nature remained unchanged forever.
79,Jan's boss won't stop hitting on her.,They fool her boss and he never bothers her again.,A clever trick ends the boss's unwanted advances permanently.,The boss continues his behavior despite any attempts.
80,"Walt wanted some ice cream, so he went to the store to get some.","When he opened up the ball, he ate his delicious ice cream.",Walt bought ice cream and opened the ball.,Walt bought ice cream but left it uneaten.
81,My mother and I were hit by lightning.,Then we drove away.,Surviving lightning allows driving away.,Lightning strike incapacitates preventing driving away.
82,Nate was failing a lot of classes.,Soon they were married.,Academic struggles led to a supportive tutor relationship.,Academic struggles resulted in continued personal isolation.
83,A woman was walking outside of a mall.,People looked at her like she was crazy.,The woman behaved strangely attracting odd looks.,The woman acted normally receiving no special attention.
84,"In Jeff's neighborhood there lived a nasty, old, Siamese cat.","When Jeff found out, he kicked the nasty cat.",Jeff dislikes nasty cats and acts aggressively.,Jeff avoids nasty cats and walks away.
85,Kiki wanted to learn to play the piano.,Kiki eventually became very good at the piano!,Kiki practiced diligently and mastered piano skills.,Kiki lost interest and never practiced consistently.
86,Rick was at the local pool.,"The child was so relieved, he cried with gratitude!",Rick saved a child from drowning at the pool.,Rick relaxed alone at the empty pool.
87,Jake was walking home from his college class.,Jake brought a pizza slice to the man who was grateful for the meal.,Jake bought pizza and gave a slice to a hungry man.,Jake walked directly home without stopping for food.
88,The true American walked to the town square with his flag.,He gave a salute and dropped a lit match on the flag.,The American saluted and burned the flag.,The American saluted and protected the flag.
89,My son and I were out hiking.,On the way home he stared out the window.,Hiking ended and a car journey began.,Hiking continued without any car travel.
90,Fred's boss called him into the office at the propane filling station.,Fred's coworker who saw him assault his boss called the police.,Fred's coworker witnessed an assault in the office.,Fred's coworker did not witness any violent incident.
91,Kimmy wanted to buy tickets for herself for a concert.,She made enough money for the concert.,Kimmy earned sufficient funds for the tickets.,Kimmy failed to earn the required ticket money.
92,"When I was seven years old, I went swimming with some friends.",My birthday was the best day ever.,Swimming with friends happened on a birthday.,Swimming was an ordinary day not a birthday.
93,Jamie wanted to buy her first car.,She drove out of the car lot filled with joy!,Jamie purchased a car and left happily.,Jamie left the car lot without a purchase.
94,Amy was getting dressed for work.,Her feet sweated and stunk in her shoes at work.,Amy wore shoes causing feet to sweat and stink.,Amy wore sandals keeping feet cool and fresh.
95,Susan was at the pawn shop.,Susan eventually became very proficient at tap dancing.,Susan found tap shoes there and practiced diligently.,Susan pawned her tap shoes and quit dancing.
96,Katy hated her little brother.,They took her home and she never ran away again.,Hatred caused Katy to run away before returning home.,Hatred persisted so Katy kept running away repeatedly.
97,We went to the park today.,I love going to the park!,Visiting the park suggests enjoyment of park trips.,The park visit today implies nothing about personal feelings.
98,Joe stretched as he rolled over in bed.,Joe went back to sleep.,Stretching indicates waking but possibly returning to sleep.,Stretching and rolling over suggests fully awakening.
99,Steve was very sad.,Steve wondered if they could ever get back together.,"Sadness stems from a breakup, prompting thoughts of reconciliation.",Sadness could be from many causes unrelated to relationships.
100,Lucas told everyone that he would never eat a peanut.,Lucas decided that he would never try something new again.,Lucas's refusal extends to all new experiences.,Peanut refusal does not mean avoiding all novelty.
101,I married a girl that I also work with.,She agreed that's a good idea and now we are much happier.,Marriage to a coworker increased shared happiness.,Marrying a coworker created professional conflict and stress.
102,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,Gardening efforts improved the yard's health and appearance.,Gardening interest did not prevent the garden's continued decline.
103,Jake had been working hard all week long.,Jake had to cancel his plans due to car problems.,Hard work prevented proper car maintenance causing cancellation.,Hard work earned relaxation time enabling kept plans.
104,Mason loved to work out.,"Turns out, Mason had gotten athlete's foot.",Working out often involves shared locker room facilities.,Working out promotes strong foot health and hygiene.
105,Miley's mother asked her to write a Christmas list.,"Then, Miley waited and dreamed of what she would get for Christmas.",Writing a list leads to anticipating gifts.,Writing a list leads to forgetting the holiday.
106,Jaiden was nervous about moving to a new home.,"Jaiden played into the afternoon, and felt his nervousness slip away.",Playing provided distraction easing initial nervousness.,Playing intensified anxiety about the impending move.
107,Rick had just recently gotten a smart watch.,Rick ended up missing his train because he didn't have the time.,A new smart watch can distract from checking the actual time.,A smart watch conveniently displays the correct time.
108,Jason went to a beach where there is typically no one.,She was beautiful and Jason couldn't help but introduce himself.,An unexpected beautiful person appeared at the beach.,The empty beach had no one present at all.
109,Daniel got home from a night out on the town.,Daniel went to check the breaker box.,Home arrival suggests possible power issues.,Home arrival suggests immediate rest instead.
110,My mom gave me a plate of food.,My food became salty and I had to throw it away.,"The food was oversalted, making it inedible.",The food remained perfectly seasoned and enjoyable.
111,Dan frowned when the police lights appeared behind him.,"Chagrined, Dan accepted the cop's offer of a screwdriver to secure it.",Dan's frown shows chagrin about a vehicle issue.,Dan's frown shows annoyance at being pulled over.
112,Allie was wearing her favorite jeans.,She had to repair them.,Favorite jeans often get worn and damaged.,Favorite jeans are usually well-maintained and intact.
113,Tim was waiting for the mail.,It was Sunday so there would be no mail.,Sunday mail service is typically unavailable.,Mail delivery occurs every day including Sunday.
114,Ronny went to a local chicken fast food joint.,Ronny drove back to the store and demanded a refund.,Ronny received unsatisfactory food at the joint.,Ronny was satisfied and went home directly.
115,Greta played with her Jack in the box dozens of times.,Greta was so startled she ran crying to her mother.,Frequent play can still produce an unexpected startling reaction.,Familiarity from repeated play prevents startling reactions.
116,My daughter's school had a bake sale to raise money.,"At the end of the night, the school told me they sold were sold out.",A successful bake sale likely sold all items.,The bake sale may have had leftover items.
117,Johnny was a very experimental guy.,He kicked his friend out and never talked to him again.,Experimental behavior can lead to extreme social actions.,Experimental behavior often fosters open and forgiving relationships.
118,Sam loved Halloween,Everyone loved it and gave him compliments.,Sam's enjoyment suggests widespread approval and praise.,One person's enjoyment does not indicate universal praise.
119,Jane had a gymnastics competition on Friday.,She got a perfect score at her competition!,Jane performed exceptionally well at the Friday competition.,Jane performed poorly at the Friday competition.
120,Todd decided to participate in his first half-marathon race.,He ended up finishing in second place.,Todd's training led to a second-place finish.,Todd's inexperience resulted in a last-place finish.
121,Donald wanted to run for president.,He was forced to abandon the race and go back to his business.,Donald encountered insurmountable obstacles during the campaign.,Donald successfully secured the nomination and presidency.
122,Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Travel often involves taking and sharing vacation photos.,Sally might keep vacation pictures private.
123,I woke up in the dark at a very early hour this morning.,The cat had shoved my door open and let herself in!,Waking early suggests an unusual disturbance like a door opening.,Waking early could simply mean a normal sleep cycle ended.
124,I was taking a walk through my neighborhood.,The third man was being arrested for drunken driving.,A walk revealed police arresting a third man for drunken driving.,A walk observed three men conversing peacefully on the street.
125,Cade is struggling to read.,"Cade's reading improved so much, soon one chapter just wasn't enough!",Cade practiced reading and gained proficiency.,Cade's reading struggles persisted without any progress.
126,My friend Beth came to town for a visit.,I felt like I had made a new friend.,Beth's visit deepened the existing friendship connection.,Beth's visit felt distant and unfamiliar.
127,Carl was 6 foot 2 and weighed 220 pounds.,He approached a white girl in a hallway and she hollered in fear.,A large man approached a girl causing fearful screaming.,A man's size does not guarantee a fearful reaction.
128,Sam got a cold one day.,Sam had to take medicine and rest for a week.,A cold often requires medicine and rest.,A cold can resolve without intervention.
129,The little girl went hiking in the mountains with her dad.,Her dad came and carried her to safety.,Hiking can lead to exhaustion requiring parental rescue.,The hike concluded uneventfully at the trailhead.
130,Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,Military service concluded with a joyful proposal to Sarah.,Military service ended without any marriage proposal.
131,The rodeo came to town.,It was a great time for all.,The rodeo provided enjoyable entertainment for everyone.,The rodeo caused disruptions and inconvenienced many residents.
132,The city wanted to build a mall.,When the mall was done it was so beautiful.,City construction prioritized aesthetic design.,Construction faced budget cuts and poor materials.
133,I joined a fantasy football league for the first time this year.,I was very disappointed.,The first fantasy football experience resulted in great disappointment.,The new fantasy football league brought exciting enjoyment.
134,Tim drew robots all the time.,"His mom tore up the ones she thought were bad, and made him draw more.",Tim's mom destroyed unsatisfactory robot drawings.,Tim's mom saved all the robot drawings.
135,Since a teenager I wanted to be a published author.,"The book sold 10 copies, making me $100.",Publishing a book resulted in ten sales.,Publishing a book resulted in no sales.
136,My daughter started playing softball at eight.,I cheered wildly.,Parents often support children's sports activities enthusiastically.,Some parents remain quiet during children's sporting events.
137,Just before my normal lunch time I got a phone call.,We had an amazing time!,The call invited friends to a spontaneous enjoyable outing.,The call reported bad news canceling all plans.
138,Tom and Sue decided to have a picnic in the park.,They return to their blanket to discover ants had invaded their meal.,A picnic left unattracted attracts ants to the food.,The picnic was eaten before any pests arrived.
139,Leia had always been courteous to her fellow employees.,Everybody smelled the alcohol on Leia's breath.,Courteous behavior fails to mask strong alcohol breath.,Courteous behavior suggests no alcohol was present.
140,Gina needed to find something to fit in the door handle slot.,"It was a long shot, but she had to try everything.",Desperation led to attempting unlikely solutions.,A suitable item was easily available and guaranteed.
141,Bree and her friends were playing on her trampoline.,She was badly hurt and all of her friends decided not to jump.,"An accident occurred causing serious injury, halting further activity.",The play continued safely without any injuries or interruptions.
142,Two young women decided to go for a ten mile run near the AFB.,The people chased the wolf away and the two women were fine.,A wolf threatened the women but people intervened.,A wolf attacked the women during the run.
143,Adler tried to place a fire ant in his brother's bed.,He decided to send Adler to summer camp.,Adler's behavior prompted a disciplinary summer camp decision.,"Adler's behavior was ignored, leading to no consequences."
144,The Entree meals were distributed to the judges.,The official disqualified the contestant who made the plate.,A contestant's plate violated competition rules.,The judges enjoyed the distributed meals.
145,Nick was a student at a large university.,Nick and Phil became close friends.,University life often fosters close friendships.,University students often remain acquaintances.
146,"Mary and her boyfriend, Mark, went to a wedding.",Mary and Mark were banned from the wedding reception.,Wedding attendance preceded disruptive behavior causing reception ban.,Wedding attendance concluded with peaceful reception departure.
147,Danny when to the park all by himself.,When Danny got home he told his mom how much fun he had.,Danny enjoyed the solitary park visit.,Danny found the solo park trip boring.
148,Professor Smith was a well liked teacher of black history.,"Professor Smith asked for forgiveness, he'd recently had a stroke.",A stroke can cause regrettable behavior requiring forgiveness.,Liked teachers have no need to ask for forgiveness.
149,Amanda was having a very rough day.,"Amanda decided to call out of work, as her day started out bad.",A rough day can lead to calling out of work.,A rough day might require persevering at work.
150,Neil wanted to see the mountains of Asia.,Neil loved being so close to the mountains in Nepal!,Neil visited Nepal and saw Asian mountains.,Neil disliked the crowded Nepalese mountain views.
151,"Every day, Donald starts his mornings by eating a box of donuts.",He was soaking wet by the time he got back to his front door.,Morning donut trips might involve rainy weather outside.,Morning donut consumption occurs safely indoors at home.
152,Karen didn't wash her hands after visiting her sick friend.,She came down with the same fever and cough her friend had.,Not washing hands can spread germs causing illness.,Many other factors determine catching a specific illness.
153,I came to school drowsy since I spent all night studying for exams.,We took our phone numbers down to arrange another meet up.,Meeting classmates led to exchanging contact information.,Exhaustion prevented any social interaction at school.
154,Harry was a lonely man.,After talking for a short while they each left the shop separately.,Lonely Harry met someone in a shop.,Lonely Harry left the shop alone.
155,The Anderson family wanted to take a big vacation.,They decided to take a family trip on an annual basis.,A big vacation inspired establishing a yearly family tradition.,A big vacation remained a singular future aspiration.
156,David and Pam went to a coffee shop.,So she blamed the coffee shop for her cup having a broken lid.,Pam received a cup with a broken lid.,The coffee shop provided perfect service.
157,While visiting a casino I saw a woman drop a one hundred dollar bill.,"I walked away with a big grin on my face, skipping my way to the bank.",Finding money caused joyful departure to deposit it.,Returning the money prevented any celebratory exit.
158,Ralph enrolled in a new arts and crafts class.,Ralph barely completed the project on time.,New class projects often have tight deadlines.,Ralph's prior experience ensured an early finish.
159,Lindsay was driving through her neighborhood.,"But when she got it back, she still drove recklessly.",Lindsay's car was previously taken away.,Lindsay's car was never taken away.
160,Bill drives a bus for a living.,Bill realizes that a little kindness can go a long way.,Bus driving involves many passenger interactions fostering this realization.,Bus driving is a routine job with no such insights.
161,Josh wanted to ask out the girl in his chemistry class.,The girl was surprised and decided to date Josh.,"Josh asked the girl out, surprising her into dating him.","Josh never asked, so the girl dated someone else."
162,Tom was watching the basketball game on television.,Tom was very pleased his team ended up winning.,Watching the game made Tom happy about the win.,Watching the game left Tom disappointed by the win.
163,My girlfriend and I like watching movies.,Maybe that's what love is.,Shared enjoyment suggests love's nature.,Common interests do not define love.
164,Bogart lived on a farm.,Bogart stopped eating bacon.,"Farm life involves raising pigs, making bacon consumption unappealing.","Farm life provides fresh bacon, encouraging regular consumption."
165,Adam and Angel wanted to move out and get a place of their own.,Finally they decided on an apartment.,Searching led to choosing an apartment.,Searching led to choosing a house.
166,My mom asked if she can borrow $100 dollars from me.,I told my mom to keep using my credit card.,Offering credit card use provides needed funds.,Declining the request avoids lending money.
167,Lana and Nicole were always good friends.,Though hurt Nicole forgave her to save their friendship.,Good friends value preserving their relationship.,Good friends never hurt each other.
168,Rose had a big party planned and was nervous.,A year later they found out they were pregnant.,Party nervousness led to a significant life change.,Party nervousness resulted in focusing on career goals.
169,Jean's job a holiday party.,Jean returned to work on Monday and avoided her boss at all cost.,Jean's holiday party behavior caused Monday avoidance.,Jean enjoyed the party and greeted her boss warmly.
170,Jay loved to rush things.,He knew he needed to slow things down.,Rushing leads to problems requiring a slower pace.,Rushing things is enjoyable and should continue.
171,Billy went to the hardware store with his father.,Billy found an employee who called his father for him.,Billy sought assistance from a store employee.,Billy's father remained with him the entire time.
172,Jimmy climbed on to the counter while his Mom was distracted.,Jimmy laughed.,Jimmy felt mischievous and amused after climbing.,Jimmy felt scared and remained silent after climbing.
173,Linda was sitting in her backyard reading her favorite book.,Her husband had come home early!,Linda heard the front door open unexpectedly.,Linda remained undisturbed in the quiet backyard.
174,I bought some chicken at the store.,I felt vindicated.,Buying chicken proved a previous point correct.,Buying chicken caused no particular emotional response.
175,June worked as a cook at a crab shack.,She didn't smell crabby anymore.,Leaving the crab shack removed the seafood odor.,Cooking crab daily causes a persistent fishy smell.
176,My girlfriend loves showing me internet videos.,"I learned two things, she is twisted and I can't eat alfredo anymore.",A disturbing video about alfredo sauce revealed her dark humor.,The videos were pleasant and featured delicious recipes.
177,Javier has always asked his parents for a toy car.,"Unfortunately, the toy car isn't nearly as fun as he had imagined.",Javier finally receives the toy car but finds it disappointing.,Javier receives the toy car and finds it very enjoyable.
178,My tutor was explaining a problem to me.,He walked away.,The tutor finished explaining and left.,The tutor continued explaining without moving.
179,Zach placed powder into his friend's drink.,Zach told him that's what he gets for taking his money.,Zach's action retaliated for stolen money.,Zach's action was unrelated to any theft.
180,Ron found a seashell on the beach.,"The next day, someone grabbed it from him and ran away.",Ron kept the seashell until a thief stole it.,Ron left the seashell undisturbed on the beach.
181,Helena finally got the toy she had begged for for weeks.,Helena wasn't very satisfied with the exchange.,The toy did not meet long-held expectations.,Receiving the begged-for toy brought great joy.
182,Ted was driving to work when a tire blew on his car.,Ted is no longer nervous about changing a tire on his car.,Gaining experience from the incident builds confidence.,The stressful event could increase future anxiety.
183,Kelly was a new student at school.,The girls were actually nice.,New student Kelly found the girls welcoming.,New student Kelly found the girls unwelcoming.
184,Betty took a walk along the beach.,Betty took her new keepsake home to show her mother.,Betty found a keepsake during the beach walk.,Betty left the beach without taking anything.
185,Tammy went to the park with her brother.,After three hours they walked home hand in hand!,Tammy and her brother spent three hours at the park.,Tammy and her brother drove home separately after three hours.
186,I woke up for work and couldn't find my shoes.,On the couch cushion I found my shoes and was able to go to work.,Searching led to finding shoes on the couch cushion.,Searching did not locate the missing shoes anywhere.
187,Danny had grown up with dogs.,Danny and his wife picked a cat that they both liked.,Danny's experience with dogs leads to pet appreciation.,Danny's dog upbringing suggests a preference for dogs.
188,Mike was writing a report about guitars.,His teacher wrote that Wikipedia is a bad source.,Mike's teacher criticized using Wikipedia for the report.,The report about guitars used approved sources.
189,Jill loved to bargain hunt at thrift stores.,"Later, she learned that the bag was Chanel brand and worth thousands!",Jill found a valuable designer bag while thrifting.,Jill's thrift store bag was a cheap counterfeit.
190,Harry and Peter were best friends.,"When Harry was convinced and left, Peter showed everyone his new cap!",Best friends share moments like showing new caps.,Peter left with Harry without showing anything.
191,Janie and Tom decided to go salsa dancing.,"She took over the whole class, and Tom was happy.","Janie's dancing impressed everyone, pleasing Tom.","Janie left early, making Tom disappointed."
